#2019-09-21
post_id,author_id,published_at,image_count,favorites,comments
14789070,1540463,2017-06-13 15:46:18,9,12,3
20028003,417330,2018-07-16 21:48:01,12,25,2
24143868,5298984,2018-11-09 22:01:09,12,12,1
23529397,1837926,2018-10-24 09:55:05,17,15,0
18964284,1809196,2018-05-29 16:12:49,8,25,1
23231058,3284745,2018-10-16 16:01:49,14,29,2
24868011,2294141,2018-11-30 13:11:12,11,16,0
31617249,1835349,2019-04-25 06:01:17,26,21,0
24799387,1696198,2018-11-28 20:30:13,13,17,0
25329767,1625032,2018-12-13 23:57:09,7,28,0
41440092,1333795,2019-06-28 21:26:33,21,6,0
30418844,32667,2019-04-07 21:01:20,11,179,4
18110748,1630377,2018-04-27 20:11:21,16,22,2
14758875,1312016,2017-06-08 22:14:03,12,6,0
13461079,410047,2016-09-01 22:07:35,15,1,0
13025498,952191,2016-04-23 01:21:30,20,7,1
25813254,1618112,2018-12-28 10:26:20,8,26,0
16036204,2892433,2017-12-19 17:25:32,9,3,0
16175702,2989529,2018-01-04 23:11:02,4,5,0
13253777,1455172,2016-07-02 23:54:10,14,1,1
16036172,2892433,2017-12-19 17:21:30,13,5,0
52104192,5619307,2019-09-09 20:38:59,3,13,0
31651152,2968757,2019-04-25 21:06:14,18,10,0
19978153,1816792,2018-07-14 17:30:09,10,76,1
28968771,519883,2019-03-21 13:11:04,17,27,0
12582526,928198,2015-05-10 11:34:51,12,13,0
20063052,2477434,2018-07-18 14:07:53,9,32,2
20243564,2477434,2018-07-26 00:19:55,12,37,0
41439602,1333795,2019-06-28 21:24:12,5,9,0
22118139,3171786,2018-09-18 09:37:52,9,39,4
17607059,1845744,2018-04-13 10:28:36,6,48,2
19513041,1000155,2018-06-24 01:02:23,9,29,12
13251092,960772,2016-07-02 00:12:54,15,6,3
13657740,1286989,2016-10-29 22:20:41,8,1,0
49377654,2573616,2019-08-16 09:21:31,9,167,3
14812602,1552642,2017-06-18 02:10:55,13,66,7
16134250,2350482,2017-12-31 12:22:10,5,19,0
