#2019-09-22
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
3244384,16969967,假装春天的冬天,weibo：HUI-YUAN,2018-03-17 10:54:32,21,11,2
2495930,16968362,『那年18』,,2018-03-17 08:49:18,10,25,0
1055389,16965517,校园少女,"JK制服

摄影&后期：凯奇KACH   微博 @凯奇KACH

出镜：千汐 微博 @Crazy-千汐Qmi ​",2018-03-16 23:55:33,12,15,1
1779298,16964767,「细而绵长的时间里   记录一部分的你」,「细而绵长的时间里   记录一部分的你」,2018-03-16 23:03:56,2,18,1
2706764,16963612,jk小学妹  武大樱花,预告,2018-03-16 21:53:51,2,13,1
2352233,16963597,,,2018-03-16 21:53:01,1,21,2
2351866,16963490,美少女,,2018-03-16 21:46:01,3,21,2
1496542,16957026,阳光正好，青春不老,"冬去春来
阳光开始漫天飞舞
在初春阳光的温柔轻抚下
一切都是那么美好、迷人、令人陶醉
只要有光，就觉得生活很美好了",2018-03-16 13:25:29,24,52,10
356773,16956031,好想看你穿制服的样子,"摄影后期 猴子温酒
出境 杯子",2018-03-16 12:13:26,1,15,2
950825,16952053,樱花,,2018-03-16 05:59:10,2,16,0
3134012,16951494,『Haru』春风与你,坐标成都，女法师进阶中，交流讨论可私信，同城约拍可私信(⁎⁍̴̛ᴗ⁍̴̛⁎),2018-03-16 01:08:51,9,9,2
1745072,16950837,Jk,,2018-03-16 00:18:42,6,9,1
54684,16950622,校园小清新,,2018-03-16 00:04:08,12,58,3
3157509,16950402,?,"青い空と雲
太陽をつかまえんぞ
君がいるから 俺は笑う",2018-03-15 23:46:26,16,10,1
3157444,16949772,日系jk蓝天一组,"摄影｜后期：安是长安的安
出镜：我

小哥哥相当赞了，比心心！",2018-03-15 23:04:05,9,17,0
1306127,16949252,,,2018-03-15 22:32:07,1,21,1
1730832,16949179,,,2018-03-15 22:28:06,1,13,1
1744237,16948898,废墟里老楼拍的JK,边拍边玩，拍到后来觉得或许可以来个脑洞，所以有了最后三张。(๑>؂<๑）,2018-03-15 22:11:16,8,13,1
2363050,16948550,,,2018-03-15 21:52:39,3,18,2
2363050,16948514,毕业啦,,2018-03-15 21:50:58,12,23,2
2649228,16948119,“我所走的每一步，都是为了更接近你”,,2018-03-15 21:28:57,15,20,2
2465302,16947793,今日份的粉色少女,,2018-03-15 21:09:21,14,29,4
2594096,16947207,雏,,2018-03-15 20:28:57,2,13,3
3244384,16947203,闪闪发亮的你,weibo： @HUI-YUAN,2018-03-15 20:28:52,9,17,2
1194493,16946445,-秋-,出镜:@草霸霸-,2018-03-15 19:40:01,35,37,3
1719679,16945364,行车少女,动漫活动散场后突发奇想就来了一套场照hhhh。我很中意这个光影呢。,2018-03-15 18:16:41,9,47,2
1695267,16943781,维生,录舞休息的几分钟随拍的几张,2018-03-15 16:14:12,6,38,1
489751,16943309,,,2018-03-15 15:34:43,1,38,2
2338138,16942310,木头,,2018-03-15 14:20:07,9,23,5
451770,16941906,会拍照的笨蛋,出镜：帅嘤嘤,2018-03-15 13:49:24,1,36,4
1435512,16941846,海婷小仙女,"这是一个
可爱到二次元的女孩",2018-03-15 13:44:17,9,30,1
489751,16932339,,,2018-03-14 21:03:33,1,32,1
3244384,16932105,马尾女孩,春天里的你,2018-03-14 20:47:36,1,14,2
2692581,16931420,JK,,2018-03-14 20:02:10,4,17,1
3132332,16931417,暖阳  午后,"机身:索尼a7r2 
              fe55 1.8 
              om135 2.8
一次约拍日常   暖色调",2018-03-14 20:02:07,16,16,4
489751,16926335,,,2018-03-14 13:08:17,1,41,0
1557173,16924479,幼稚园jk,每天都大太阳，就拍摄下雨，气气。,2018-03-14 11:03:02,19,29,1
2739595,16920887,JK·返校,"新手拍的第一套人像片
出镜：@吸鹅成瘾的fa
摄影：@Byban_半奏_  @十七年蝉叔
后期：@Byban_半奏_",2018-03-14 03:55:49,39,20,0
1744237,16920011,废墟里的 JK制服,其实本来是去踩点的，顺便拍几张，由于事先美规划，就随意拍的。,2018-03-14 00:42:55,9,11,0
1744237,16919997,JK 制服 光影,喜欢干净的色调，和阳光的感觉。（可能是因为成都太阴沉的缘故吧）,2018-03-14 00:40:57,3,11,0
1564640,16918220,春日华师少女,,2018-03-13 22:50:58,9,16,0
489751,16916169,,,2018-03-13 21:01:52,9,38,3
451770,16915917,树林，jk与阳光,出镜：帅嘤嘤,2018-03-13 20:47:40,1,36,2
2731657,16912415,lemon,vol.24｜by 北岛未北,2018-03-13 16:48:52,13,22,0
2739595,16909631,JK·面包店与书店,"出镜：@吸鹅成瘾的fa
摄影：@十七年蝉叔
器材：GH4+凤凰50f1.7
后期：@Byban_半奏_",2018-03-13 13:50:01,25,26,3
489751,16909482,,,2018-03-13 13:42:56,1,33,0
1534439,16909064,,,2018-03-13 13:22:02,1,28,1
2662953,16908952,约拍第一波,,2018-03-13 13:16:38,9,16,1
468258,16908092,,,2018-03-13 12:34:49,7,27,2
489751,16905087,,,2018-03-13 09:21:46,1,32,1
3236316,16904393,粉色,"“我最喜欢粉色”
“粉色多俗气啊，我最喜欢你”",2018-03-13 08:29:55,9,16,2
3236316,16904337,有你的快乐,忧伤有时候竟被你调味得像颗糖,2018-03-13 08:25:59,9,18,2
1557173,16901441,幼稚园jk,预告,2018-03-12 23:18:33,2,10,1
2863670,16899406,春日,"叮~
下一组发介个

这是在教学楼旁拍的一组发发+美少女
我觉得这次可以出一次教程了
包括前期怎么拍：花太高+花比较稀疏完全虚不掉背景+平行视角周围又太杂乱
包括后期怎么修：黄不拉叽的草地修出清新舒服的色调+怎么p掉不想要的杂物",2018-03-12 21:36:51,1,27,3
1809196,16891721,これから訪れる,"これから訪れる
実は、幸せってのはとても简単なんだよ、好きな人がいて、やりたいことがあって、そして期待できる未来、ただ、それだけなのよ。
かのじょう：小米
カメラマン：Fresh",2018-03-12 13:11:50,24,30,2
1058159,16890440,JK少女,"Mamiya ZM/AGFA vista200
后勤的时候拿胶片机蹭拍一张",2018-03-12 11:38:24,1,37,4
489751,16890365,,,2018-03-12 11:32:43,1,37,2
2778071,16889088,静かな授業,,2018-03-12 10:09:52,6,29,0
1745897,16884864,周日随拍,,2018-03-11 23:58:21,11,8,1
1018819,16883156,AnitaNice,"麻豆/文:AnitaNice
摄影:安是长安的安
因为你说喜欢我
所以天气明朗 空气清甜 云朵柔软
就连我自己也比昨天要看看一点点
希望你能就喜欢我
那样我就是世界上最美的女孩子了",2018-03-11 22:17:45,1,32,4
1204043,16879031,jk,,2018-03-11 18:16:26,1,39,2
2356994,16878366,青春,"我曾剪下自己的一段青春， 
用来奋不顾身的朝着一个目标狂奔， 
那勇敢的模样， 
任何时候想起来都觉得漂亮。",2018-03-11 17:28:01,3,31,8
3045194,16878123,献给单恋者和异地恋者的玫瑰,"《献给单恋者和异地恋者的玫瑰花》

你自以为在他（她）的生命里
无论贫穷富裕健康疾病
从开始到结束  ​​​",2018-03-11 17:11:21,1,25,4
