#2019-09-21
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
1324421,14932165,《漫 漫》,"如果有一个怀抱，
勇敢不计代价，
别让我飞，
将我温柔豢养。",2017-07-10 23:17:27,33,41573,821
1554923,20740550,,,2018-08-11 08:59:01,30,27217,410
1136739,14627860,17岁的夏天,"那年夏天
                我真的好喜欢好喜欢你
                     也好喜欢那个喜欢你的自己",2017-05-19 10:47:50,19,32519,378
959534,34645482,捞月亮的人,我的人像摄影教学已经开始招生，咨询报名请加vx：18310080899,2019-05-27 11:12:41,18,22996,268
383445,32648722,,独上空楼，漫步云梯，世上皆无景,2019-05-13 11:42:23,15,26534,421
1178344,28566345,,北海道,2019-03-12 08:09:07,25,30405,439
280988,27633734,,与马儿信步雪原 唱着明媚孤独的歌,2019-02-17 04:45:45,18,22363,290
1438212,20037446,那年仲夏,"那年仲夏
豆蔻年华
在水伊人
惠风拂发",2018-07-17 09:44:44,19,23258,391
1438212,22604043,小甜有点甜,虎牙-娱加小甜,2018-10-01 23:12:14,18,27958,483
435246,23779401,,可爱的女孩子 宝藏女孩,2018-10-30 15:34:54,22,26476,477
1447210,17194582,砂糖,松 脆 可 口 酥 软 且 甜,2018-03-28 14:38:52,18,30346,732
354368,13702935,宝贝儿，咱们孩子飞走啦,儿子三个月大的时候拍的，拍的时候蛮累的，不过照片看着还挺有意思，拍这组照片一是纪念，二是希望孩子可以自由成长，也希望他长大以后看到会觉得好玩儿,2016-11-10 13:40:02,6,21354,1031
2649228,36549277,,听海,2019-06-04 07:26:40,14,2530,40
988625,33088811,,海风与你,2019-05-20 09:02:57,10,4103,109
3338682,32520037,出逃,,2019-05-11 07:52:11,9,3844,193
344025,40783386,Summer,"不是所有夏天的外景都只有热~~
摄影后期: Luna / 出镜@_吴安珀 
#深圳个人写真#",2019-06-24 15:24:24,9,1859,110
2387088,41126314,,我想有个房子，面朝大海，春暖花开。,2019-06-26 19:53:30,12,1060,8
1158122,40002133,灰烬微光,,2019-06-20 11:26:17,14,1140,8
1857555,41363249,,「阴阳师正片」不知火,2019-06-28 12:37:19,16,1977,72
1399713,41650018,,"呼吸
摄影:卿羽
出镜:可儿
设备:6d2",2019-06-30 08:58:36,9,765,4
5112869,32674546,,"周末画报
Weibo:@Usowell",2019-05-13 21:20:09,25,33663,443
1158122,41507684,,,2019-06-29 11:35:15,12,721,7
1158122,28797560,,夏的心情,2019-03-17 16:35:12,11,975,22
2681358,39717917,和你的夏天,,2019-06-18 12:33:01,31,4018,37
958316,52824490,,"人，人生，还是暧昧一点好。

决不能说什么爱你这样的话，真正的东西是不以语言方式出口的。

爱,是以快门的次数来决定。我认为,要记住所有的东西

————荒木经惟

相机：500AF",2019-09-17 10:47:28,16,639,0
1158122,32853764,,何,2019-05-17 11:51:27,9,639,3
3699554,52977042,晨归恒河,"瓦拉纳西的清晨

微信公众号：chalffychan | 微博；chalffy_",2019-09-19 09:44:07,1,573,65
1308634,19248375,,,2018-06-11 19:10:37,10,13314,335
1381184,32772040,是你眼里触不可及的温柔/,,2019-05-15 20:39:36,14,45206,660
1191532,52910759,你与大神照片的差别，并不在于光影和颜色，而在于…,很多时候，在进阶道路上的摄影爱好者，明明能感觉到自己作品与大神作品的差距，好像却完全不知道差在哪，无法用语言准确描述，从而导致自己的摄影水平一直原地踏步，很难进步。所以，想要提高自己的摄影水平，首先要知道自己与大神差在哪里，才能准确地学习自己所欠缺的东西。本期教程将向大家详解进摄影大神的作品与普通人照片的直接差距。当我们讨论一张照片，无非是在讨论照片的用光、用色、构图等方面，以及照片自身包含的...,2019-09-18 12:51:13,0,535,8
2693176,40792096,"用相机抓住那些不经意的瞬间, 才是最好的人像摄影",受访、图｜@刘小呆儿_采编｜陈升▶︎ 本文约 2900 字，细读全文需 7 分钟大家好，我是图虫人像摄影师@刘小呆儿_ ，目前常驻陕西西安和安康。我是一个喜欢植物和动物的女孩，目前家里养了有一百多盆花、2 只狗和 3 只鹦鹉。我并不是一名全职摄影师，而是在机关单位上班，闲暇之余我和我老公一起成立了我们自己的摄影工作室——“小呆和小毛摄影工作室”。其实我的生活状态每天都很忙碌，除了要照顾家里的花草动物、有时在上午下班后，...,2019-06-24 16:28:40,0,607,46
487504,15153839,陪你过假日,,2017-08-14 14:33:10,33,47881,962
294517,20524923,女神,MT： 柠檬,2018-08-03 10:34:10,20,966,12
294517,23847289,行亦禅坐亦禅,MT:YISHENG,2018-11-01 08:23:47,11,1030,10
277539,41333685,,#奥立佛的照相馆#。筱芸,2019-06-28 07:23:39,18,510,2
1399713,41555969,,"烈日下的街道
出镜:可儿
摄影:卿羽",2019-06-29 17:18:48,16,1035,11
1621956,52553773,金星天 处女座 C,感谢三分妄想为我提供了这次的服装，中式泳装是个很棒的创意。,2019-09-14 13:35:18,10,532,9
277539,41039302,,#奥立佛的照相馆#  向日葵与少女,2019-06-26 08:38:02,18,516,8
2432780,52725687,,,2019-09-15 23:49:17,2,478,4
2432780,52725831,,,2019-09-15 23:50:54,2,475,0
1187945,41514296,,,2019-06-29 12:26:08,9,1143,60
1690150,50414643,一个人的摄影工作室，我是如何做到月收入近5万,作者：袁笛  （英国摄影大师协会会员，图虫资深儿童摄影师，图虫签约摄影师  ）       最近有很多摄影师加我微信，除了看我的拍摄作品以外，很多摄影师朋友都问到我是如何一步步顺利经营摄影工作室的。由此，我觉得应该把自己从事摄影十年来的一些亲身经历与大家分享，如果你正在考虑成为全职摄影师，如果你正苦恼于挣扎在生死边缘的话，希望这篇文章能为你提供一些思路。       先汇报一下我的工作室目前的基本情况吧，我有一...,2019-08-24 10:36:50,0,458,21
6583017,53070350,,尝试黑金调色,2019-09-20 13:14:30,2,440,0
2348964,39639652,,《小小闺蜜》,2019-06-17 20:50:13,29,568,70
1474557,13894559,A Light Touch,,2016-12-28 18:53:03,1,30781,302
1438212,22045725,,,2018-09-16 08:01:06,30,6250,267
6583017,53070546,,中日古典融合,2019-09-20 13:17:19,1,433,0
1205458,49282571,,「红颜」,2019-08-15 15:46:21,12,439,0
1887424,41618480,,"《秘密花园》
  出镜：玲玲",2019-06-29 23:08:45,5,432,0
1437486,14585948,天朝校服,,2017-05-12 14:46:35,24,34621,398
437218,40664462,,"模特：大梦
摄影后期：Tao",2019-06-23 20:30:07,8,477,5
1848791,41112939,,起风了,2019-06-26 18:21:29,18,631,30
384710,52843030,,,2019-09-17 15:42:28,1,346,14
1178344,16660464,,"@苏格林的唐怀瑟
我的第六期人像摄影课堂，学习加enzoshadow",2018-02-25 14:49:25,25,27500,1345
1362858,17999368,那天一起走过的两万步,出境：酥酥,2018-04-24 09:36:13,35,7184,220
242850,17005096,南风已起，念你成疾,"更多教程及微博：@鱼鱼Mood
教学抖音：279273133
包教会永久网络摄影后期全能班及旅拍教学现场班正在招生中（VX:ghgsyy）
8小时入门基础班报名中",2018-03-19 12:21:33,11,13949,405
6481496,26009853,,松,2019-01-03 00:21:08,11,3121,108
1865066,42160076,,"等风来
摄影：松子松子子 
出镜：关包耳212 
冲扫：时间对面FILM",2019-07-03 14:24:25,21,7720,88
1468214,18454087,《旅途渡船》,,2018-05-09 06:40:31,8,16993,542
2693176,41112175,"这位自由摄影师, 每天带着不同的姑娘在民宿里拍照",受访、图｜@煮鱼尾呀采编｜陈升▶︎ 本文约 1200 字，细读全文需 3 分钟图虫的小伙伴们大家好～我是图虫摄影师@煮鱼尾呀 目前就是全职摄影师啦。作为全职摄影师的日常呢就是自己安排时间，带着不同的姑娘在不同的民宿里穿梭，拍客片、修图、继续拍客片、继续修图。目前常驻武汉，偶尔会去别的城市旅拍。此刻最痛苦的就是没时间修片！在从事职业摄影师的生涯中，对你来说最痛苦的事是什么？其实在四年前开始尝试约拍的时候，会有一...,2019-06-26 18:16:08,0,425,57
1187945,25994679,,weibo 马超soleil,2019-01-02 13:37:05,20,8906,214
1187945,52980962,,,2019-09-19 10:50:38,10,309,21
1695426,35603357,,白日梦想家,2019-06-01 08:29:57,9,7725,198
3200219,40839682,,粉色空间,2019-06-24 21:34:33,9,367,3
381497,41277288,小芳,,2019-06-27 19:56:42,35,1401,96
1178344,41386086,爱をこめて.海,,2019-06-28 15:28:33,1,640,38
1187945,16295222,初冬茶园,weibo 马超soleil,2018-01-20 09:18:48,22,44673,1343
238850,9668253,自深深处,"新浪微博：@人称阿坤
出镜：丰丰
Pentax645N、Portra 400",2015-02-16 17:37:22,19,10490,364
233968,41226219,静静的白桦林,,2019-06-27 13:39:40,3,619,56
1516707,13760728,梦中人,看多了网红脸  看厌了惨白脸,2016-11-24 15:57:59,2,22786,62
1287992,33401897,,夏,2019-05-22 21:35:24,1,625,23
3519114,21239212,色彩,"索尼A7m3
蔡司FE55 1.8
麻豆 Nancy",2018-08-28 07:50:40,5,1746,51
1744558,14070509,【方圆几里】,拍过很多美好的姑娘，这一套要感谢蒙古族曾姑娘的出镜。,2017-02-10 13:18:49,20,5899,198
1845744,39731172,,"出镜：小可爱/PP
    “我纹身、喝酒、抽烟、说脏话 ......我不在乎别人说什么，我也不会去学别人，我只想要每天高高兴兴的生活，诚实的做自己。",2019-06-18 14:15:35,22,1515,46
7715464,30728039,,一套不一样的汉服,2019-04-10 20:39:02,9,833,27
1838664,51480413,,,2019-09-02 21:52:20,22,418,8
529822,47962145,夜已深,"/愿你
/永远清醒
/永远温柔
/永远知进退",2019-08-06 20:19:48,9,1618,95
458707,52771050,肖像,,2019-09-16 17:22:25,9,280,8
1653292,15600116,,,2017-10-24 22:35:25,7,27418,233
3738183,46965280,,希望你以后每一天都这么可爱?,2019-07-30 21:36:54,9,1632,30
362174,15993718,不要未来 只要你来,不要未来 只要你来,2017-12-16 15:58:36,14,14004,262
1037985,17372701,去年夏天的某个片段,,2018-04-05 11:36:37,10,8492,339
1178708,52685617,,"我是不是好久没发图了？
TEST FOR ANYA TANN
PH ZXANDRTY",2019-09-15 17:37:42,2,279,23
3200219,41747626,,奥森向日葵开了,2019-06-30 20:13:34,13,347,0
233968,41110985,一切都风轻云淡,,2019-06-26 18:08:16,3,672,43
1939512,20718140,20岁的某一天，我要爱，要生活，要把眼前的一世当做一百世一样...,那一天20岁，在我一生的黄金时代，我有好多奢望。我想吃，想爱，还想在一瞬间变成天上忽明忽暗的云朵，想吃掉世上最美味的一切，想在你眼里撒野奔跑，想把美好事物的纯真走完。,2018-08-10 14:19:11,20,5266,84
1505242,17128098,漠河旅行,零下20度的漠河蜜月旅行,2018-03-26 17:38:41,17,6671,319
5545103,26360846,,"我无法传达我自己
从何说起",2019-01-13 23:51:20,9,8682,154
4263766,21327576,油画少女,"佛系摄影师
第一次作品",2018-08-29 21:30:53,3,1466,41
3643902,21255708,胶片-03,柯达金200,2018-08-28 16:36:42,11,1488,39
2602198,15653079,楚楚好动人,"微博：HannahChu_

微信：wennuanji666
欢迎约拍",2017-11-01 15:29:37,9,35689,731
1391463,40722336,建议零售价：陆元,建议零售价:6元,2019-06-24 01:15:05,32,1116,21
1175409,13524626,夏末,"三门岛旅拍
出镜：小灵
摄影后期：家强",2016-09-21 13:25:47,9,10304,412
8112836,36785436,,復古少女,2019-06-05 01:12:07,21,3544,54
1171228,13984805,过大年之采摘篇③,"{ 腰果作品 }
2017年1月15日 星期日
去年腌制的酱菜满载丰收和喜气出坛了，陈年酱汁饱含着岁月沉淀散发出浓郁的香气。采集纯净的井水、鲜嫩的菜叶、还有干燥的稻梗…把这一年的收获封坛珍藏，待下一年的大年前夕再次开启。
幸福就是如此循环往复的接力下去，从上一代到这一代再到下一代，生生不息。
——JoJo 2岁9个月 / Mg 2岁5个月
{ 请给乔老板颁一个最佳女配角奖 }",2017-01-22 11:23:45,9,10953,530
1438212,24278250,理工的时光,"理工女 广工场地 广二中校服，醉了
拍个mv。顺便拍几张照",2018-11-13 18:03:30,19,4118,170
