#2019-09-21
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
462420,15040725,1.5万字干货丨教你0基础如何在一年内靠摄影赚到钱,——本文为图虫推荐文章，把你的干货教程、观点分享发布在图虫站内，你也可以获得官方推荐。友情提醒：1、这篇文章比较长，有15000字，没有图片，全部方法论干货，分享了近100个套路方法技巧，让你如何在摄影圈里成长更快。适合喜欢摄影的0基础爱好者，想业余时间从事摄影工作并挣点钱～2、建议先收藏，再慢慢阅读。写了很久，如果你觉得有收获，希望能点赞＋分享鼓励我，感谢你的支持，让我有动力写出更多好文章 ?3、利益相关：...,2017-07-28 11:49:26,0,38792,1687
1771734,52856377,,进步是目的；理想是标准。,2019-09-17 18:54:43,1,252,17
1890818,52704648,拉萨篇：布达拉宫E,摄于布达拉宫广场。,2019-09-15 20:55:50,1,200,56
1890818,52705099,拉萨篇：纪念碑,摄于布达拉宫广场。,2019-09-15 20:59:51,2,193,53
1890818,52704814,拉萨篇：布达拉宫东广场,,2019-09-15 20:57:27,1,189,54
1771734,52894905,,对于一个独处的个体而言，是不需要任何人的挂念，就算被整个世界遗忘那又如何？,2019-09-18 07:56:55,1,181,18
1890818,52998397,多彩盐湖（2）,摄于查尔干盐湖。,2019-09-19 15:21:47,2,178,45
1890818,52773500,拉萨篇：布达拉宫西广场,,2019-09-16 17:58:18,2,178,48
40465,2180694,二十四节气,,2011-12-12 11:26:38,24,9929,376
1890818,52998324,多彩盐湖（1）,摄于查尔干盐湖。,2019-09-19 15:20:37,2,175,49
1535376,52095836,令人怦然心动的「日系写真」，就该这么拍！,Air君有话要说日系色调的写真，总是让人看着很舒服。干净、清爽、纯粹·····一切美好的词汇似乎都能放在它身上，而这类写真也非常受妹纸们的喜欢。不过怎么才能拍出人见人爱的日系写真呢？今天，Air君就给大家分享下摄影师三园猫的《日系写真拍摄指南》，教你如何快速拍出干净舒服的日系写真。夏天最适合拍一套清爽干净的日系写真啦，但如何可以快速拍出一组这样的照片呢？这次我会从前期色系搭配、构思、相机设置、后期调色来进...,2019-09-09 18:58:28,0,359,12
1890818,52998489,多彩盐湖（3）,摄于查尔干盐湖。,2019-09-19 15:23:15,2,169,59
1771734,53144036,,远离尘嚣,2019-09-21 10:02:54,1,168,23
1890818,52844422,林芝篇：天佛瀑布,摄于林芝卡定天佛瀑布。,2019-09-17 16:02:56,2,169,40
1890818,52915626,林芝篇：小溪,摄于天佛瀑布景区。,2019-09-18 14:05:17,1,165,49
1771734,52547573,,"一人一牛一蓑衣，
一天一地一世界，
或入凡尘？
或入梦乡？
这里一切都显得那么安详，突然有一种想回家放牛的冲动，那里没有生活压力，没有城市的喧嚣，没有江湖套路，没有爱恨情仇，我只关心我的牛还在不在，就放一头牛，多了也数不过来，牛在吃草，我在睡觉。",2019-09-14 12:21:35,1,370,44
1890818,53081961,多彩盐湖（6）,查尔干盐湖随拍。,2019-09-20 16:04:15,1,157,59
2985515,53053337,,广西•德天瀑布,2019-09-20 08:43:48,1,151,21
1188348,13087601,,,2016-05-13 19:50:52,53,10877,632
346722,12798619,再见，2015,昨天去医院动了一刀，终于可以停下忙碌了一年的脚步，在家陪陪真正的刘小朵，转眼她已经两岁三个月了。也意味着我从拿起相机到今天已经过去了两年半了。说短不短，说长不长的两年。两年前我还在每日应酬这自己的客户，陪他们喝酒，扯淡。说着那些自己听起来都特别假的恭维话。两年后的今天我依旧在扯淡，甚至还有朋友建议我去杜蕾斯写段子。但我过的很开心，我觉得这是我想要的生活------发自内心的想要的生活。,2015-12-12 22:32:36,11,4430,296
1543546,41295637,,,2019-06-27 21:45:46,1,188,9
1543546,40835857,,,2019-06-24 21:14:53,1,174,3
2985515,52820947,,云南•普者黑,2019-09-17 09:46:35,1,140,28
1543546,40964334,,,2019-06-25 18:48:21,1,171,7
2985515,52639453,,云南•坝美,2019-09-15 08:10:33,1,129,19
1890818,53081934,多彩盐湖（4）,查尔干盐湖随拍。,2019-09-20 16:03:53,1,127,41
2985515,53000671,,广西•鹅泉,2019-09-19 15:57:15,1,127,22
3577740,40605702,,俯看体育馆，犹如一个巨大的哨子，保障比赛的公平公正！,2019-06-23 15:08:30,1,191,11
381177,16121235,致---2017,,2017-12-29 19:15:57,20,3091,99
1890818,53081949,多彩盐湖（5）,查尔干盐湖随拍。,2019-09-20 16:04:04,1,122,30
1145421,52896185,孤,,2019-09-18 08:36:15,1,124,3
3118968,52743743,编织生活,拍摄于顺德伦教镇。,2019-09-16 10:11:39,1,124,45
1543546,41295461,,,2019-06-27 21:44:47,1,162,9
2985515,52859017,,云南•普者黑,2019-09-17 19:28:27,1,123,16
2985515,52761084,,云南•普者黑,2019-09-16 14:47:32,1,122,11
3577740,31240719,魅力西樵山,宏伟、庄严的观音像下是依山而建的宝峰寺清雅古朴。,2019-04-18 10:03:52,1,154,1
2985515,52897917,,云南•普者黑,2019-09-18 09:16:52,1,119,24
1543546,40964253,,,2019-06-25 18:47:53,1,149,10
2985515,52994143,,广西•鹅泉,2019-09-19 14:13:34,1,117,26
2952967,16134946,纳米比亚艺术交流,2016年拍摄于纳米比亚的一些动物、风光（纳米布沙漠）、人文片（纳米比亚艺术学院）。,2017-12-31 14:10:29,16,3260,225
1543546,40835726,,,2019-06-24 21:14:13,1,125,5
2985515,52820866,,云南•普者黑,2019-09-17 09:44:49,1,110,10
1890818,52572303,拉萨篇：布达拉宫D,摄于布达拉宫广场。,2019-09-14 17:01:09,1,193,63
1543546,41000123,,,2019-06-25 22:09:04,1,134,9
3577740,37929817,夜色中的猫头鹰,,2019-06-09 13:42:06,1,197,8
2382797,52974763,The night with you,注：手机看片的话，请横着屏幕看！,2019-09-19 08:56:08,1,109,22
375598,53079820,Kansai Memories II,一些人的故事和一些需要品读的情绪,2019-09-20 15:36:08,9,108,7
226951,6186901,代表2013,,2013-12-30 22:44:59,20,1899,161
1543546,40999972,,,2019-06-25 22:08:20,1,131,9
3577740,37337892,丘比特之箭,,2019-06-07 13:57:02,1,140,4
2985515,52975361,,广西•鹅泉,2019-09-19 09:08:53,1,103,18
1543546,52875692,,,2019-09-17 22:26:31,1,103,4
3577740,30780534,,恒山远眺，美景尽收眼底！,2019-04-11 13:11:59,1,148,1
2985515,52975270,,广西•鹅泉,2019-09-19 09:06:57,1,100,21
1890818,52572187,布达拉宫C,摄于布达拉宫广场。,2019-09-14 16:59:43,1,172,44
1720636,52801098,挤奶的女人,,2019-09-16 23:03:21,1,98,28
1720636,52869508,眷恋,红外相机680波段拍摄，转黑白。,2019-09-17 21:29:41,1,98,13
1720636,52861661,足球梦,红外相机680波段拍摄，转红外。,2019-09-17 20:02:41,1,96,18
1720636,52876726,等候活动的人,红外相机680波段拍摄，转黑白。,2019-09-17 22:35:58,1,95,14
1321758,52762474,,赶海归来,2019-09-16 15:10:52,1,95,12
1321758,52924487,,赶海．广东省电白澳内,2019-09-18 16:33:09,1,93,9
1720636,52733117,老茶馆,,2019-09-16 01:25:39,1,94,12
2985515,52639371,,云南•坝美,2019-09-15 08:08:38,1,94,10
1188348,13516933,《一场秋雨一场凉》,,2016-09-19 00:40:49,41,4685,177
1890818,53171866,多彩盐湖（8）,摄于查尔干盐湖。,2019-09-21 15:57:57,2,92,29
1720636,52937097,突尼斯老城,,2019-09-18 19:34:05,1,93,12
2933362,52644779,中国红（3）,拍摄于上海东方体育中心,2019-09-15 09:45:35,1,93,49
1720636,52783810,赛马前的喂桑,红外相机680波段拍摄，转黑白。,2019-09-16 20:15:02,1,92,17
2985515,53053219,,广西•德天瀑布,2019-09-20 08:41:41,1,90,8
1720636,52868173,赛马前的演练,红外相机680波段拍摄，转黑白。,2019-09-17 21:15:22,1,89,11
1720636,52806809,交流,,2019-09-17 00:09:41,1,89,23
1543546,41461772,,,2019-06-28 23:13:52,1,107,5
1720636,52830758,噶基和他的马,和我相机680波段拍摄。转黑白,2019-09-17 12:32:31,1,87,8
11465210,52748260,,牵手,2019-09-16 11:22:56,1,88,10
2985515,52741629,,云南•普者黑,2019-09-16 09:31:11,1,88,7
1720636,52721361,专注,,2019-09-15 23:07:51,1,88,23
1321755,52894997,古刹,,2019-09-18 08:00:12,1,87,14
11465210,53082637,,城市之光,2019-09-20 16:13:02,1,85,36
2985515,52993905,,广西•鹅泉,2019-09-19 14:10:05,1,85,17
2303254,41087490,相思鸟,"相思鸟(Silver-eared Mesia 学名:Leiothrix)别名红嘴玉、红嘴绿观音、恋鸟，在西方叫&quot;乃丁格&quot;(情鸟)。画眉科相思鸟的两种鸟之一，栖息于平原及海拔1000米的小丘，活动于常绿阔叶林、灌丛和竹丛间，对影相思。

红嘴相思鸟羽衣华丽、动作活泼、姿态优美、鸣声悦耳，颇受人们喜爱。但其鸣啭与其它画眉亚科歌鸟相比，显得单调，也不善模仿，所以养鸟者多重其羽色。

相思鸟本属共有银耳相思鸟和红嘴相思鸟2种，中国均有...",2019-06-26 15:13:07,9,100,14
3577740,31203840,魅力西樵,魅力西樵,2019-04-17 16:56:04,1,116,6
1771734,52491995,,"上帝之光
拍摄于新疆果子沟大桥
当希望之光从云层中散射而出，我脑海产生的画面，有光，我循光而来。",2019-09-13 21:24:33,1,369,30
1321758,41337762,,赶海的渔人．广东省阳江市阳西县,2019-06-28 08:42:35,1,146,6
1890818,53171526,多彩盐湖（7）,抓拍于查尔干盐湖。,2019-09-21 15:53:50,4,83,27
2352742,52828593,牧,,2019-09-17 11:55:50,1,83,22
2303254,52821623,翠翠,拍摄于北京房山区窦店砖瓦厂。,2019-09-17 09:59:56,7,82,6
1720636,52629526,街头转经的老太太,红外相机680波段拍摄转黑白,2019-09-15 00:47:00,1,83,14
