#2019-09-22
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
6631927,52353073,,复古色,2019-09-12 15:45:51,1,26,0
1701634,50289695,,,2019-08-23 09:01:13,3,37,4
1679312,14984432,山间与明月ガ 你与少年あ 我在日本 梦醒  寿终,和服,2017-07-19 11:39:02,15,249,1
990878,13602807,《花咲くように‥》,"手のひら降り注ぐ光が　私の中で輝いてる
 全てが歓びに変わる日を　信じている
 花咲くように

 季節を塗りかえて　優しい風が渡る
 かたい蕾に目覚めの時を
 囁いて過ぎてく
 心熱く芽生えてる　願い今　叶えよう
 大地濡らす雨よ勇気になれ
 涙が止まらない夜でも　夢の灯火（ともしび）高く掲げ
 せつなさ　その向こう隠れてる
 強い気持ち照らしていたい
 明日きれいに花咲くように
 木漏れび煌（きら）めい...",2016-10-13 21:47:28,15,1215,36
12018393,50887051,,『和』,2019-08-28 11:38:06,1,10,2
2747704,45537843,kimono,"拍摄地点：佛山南海觉心堂
模特：安琪",2019-07-21 18:56:49,12,25,1
3733034,40609795,,,2019-06-23 15:32:54,24,457,1
5445017,38941878,,放一组3月份的片子，希望大家喜欢~?,2019-06-14 09:13:07,12,25,0
3016782,34940797,,和服,2019-05-28 20:28:17,1,65,0
6645098,33026444,,樱花少女。,2019-05-19 17:24:31,9,23,0
4598758,27933342,,,2019-02-24 23:37:31,27,2359,113
3448041,21859846,【我有故事，你有酒么】,都是客片 想不出文案 恩~,2018-09-10 23:13:28,17,970,122
1620087,19672705,红,,2018-06-30 13:59:07,1,130,6
2613500,19258121,#和服#,,2018-06-12 08:37:29,1,136,6
2462390,47899599,想看更新请关注公众号：摄影师Phil,想看更新请关注公众号：摄影师Phil,2019-08-06 12:23:03,1,26,0
5522046,45442667,,同行的人，未必同路，到了路口自然就会知道。,2019-07-21 08:45:44,11,19,0
8220415,40210419,,和服打卡(๑´ㅂ`๑),2019-06-21 15:26:03,4,15,0
5445017,38942341,,分享一组3月份的樱花?,2019-06-14 09:17:45,12,22,0
3828636,37752223,,花田错,2019-06-08 21:19:29,2,9,1
8368022,36555989,,青葉が目に入る,2019-06-04 08:35:01,10,21,0
7021964,33598096,,无锡拈花湾,2019-05-23 21:58:41,12,2,0
2586535,32822447,,茶,2019-05-16 20:27:13,9,22,0
1341420,21750100,和服,,2018-09-08 10:06:23,1,48,2
1853008,19588049,于攘攘浮世等你听,出镜：@啾啾啾酱-Violet,2018-06-27 11:40:58,9,190,8
1473108,17248367,和服,,2018-03-30 23:07:23,8,51,0
2336142,16643926,和服暗调私房,"喜欢的同学关注下微信公众号：Moe-girls ，关爱下加个粉，谢谢~有机会一起交流拍妹子

和服暗调私房，当个存档吧",2018-02-24 13:14:08,7,49,1
498207,16340305,紫雀,我喜欢这个世界的色彩斑斓,2018-01-25 22:09:27,20,17,1
2625053,16231015,和服,"在妹妹家拍的。。
开了空调。。
但是地板好冷{{(>_<)}}
啊啊啊",2018-01-11 17:54:29,9,20,1
1044858,16052816,和服,,2017-12-21 19:51:53,1,32,0
1056061,15863750,夜空には見渡す限りの海、 そして君は。,"やっと眼を覚ましたかい
それなのになぜ眼も合わせやしないんだい?",2017-11-30 14:29:47,14,270,1
2397632,15542504,你是无意过堂风,"你是——
       无意的过堂风
       却偏偏引山洪
 
摄影/后期：歌尔
模特：林清渝",2017-10-16 09:44:15,10,237,3
921387,14837447,思故人,,2017-06-22 17:44:44,15,97,2
1288281,14276109,和服,和服,2017-03-20 20:45:43,14,163,5
1618033,13943078,和风少女,,2017-01-10 21:44:15,1,18,3
1000520,13777867,和服,摄影后期糖糖笑笑,2016-11-28 18:53:36,9,75,1
1136739,13424194,虹色蝶々,君は風みたいで、僕は夢みたい,2016-08-22 15:15:31,15,274,17
1642426,43426218,驼铃声声,,2019-07-10 21:53:09,13,35,0
990878,13736674,《弓·犬夜叉·桔梗》守望版,,2016-11-18 18:43:24,16,2910,170
1862745,41218706,半夏 深林,,2019-06-27 12:46:20,9,60,2
2959516,41044079,,背影,2019-06-26 09:37:38,1,24,1
54025,41353899,,穿和服的女子，日本京都清水寺,2019-06-28 11:20:48,1,23,0
2959516,41192298,,晶晶和服,2019-06-27 08:48:42,1,23,1
1814550,41005650,,夏天快来啦！和服小姐姐,2019-06-25 22:35:50,1,23,0
2372987,41659351,,绿荫小树,2019-06-30 10:27:29,9,32,0
2731520,41342888,,出境：球球,2019-06-28 09:45:49,9,22,2
1699249,41145496,,"露水……
楼下面馆那男伙计缠着女服务员谈着情笑，男的不俊女的也土，但我的羡慕溢于言表浓过汤汁，即使露水萍聚对我也是奢侈……
（这次，大连磨王要加油，早日出图）",2019-06-26 21:42:13,1,20,0
3613661,41042057,,"一整个宇宙
换一颗红豆

时は琥珀さんが涙を流しながら键をかけられた
ラブレターがどんなに不朽であっても砂時計になる
青春の上流の白雲が蒼い犬とカモメを飛んで行く
ぎらぎらした想念がさらさらと流れていく
運命はユーモラスで、愛する人を黙らせる
宇宙全体に小豆を交換します",2019-06-26 09:14:34,14,22,0
5522046,53004136,,"如果我把你拍的比本人更好看可以谢谢我
但如果我把你拍的比本人更丑了不能怪我",2019-09-19 16:52:43,9,20,0
1834119,41219360,,#和服#,2019-06-27 12:50:55,1,19,0
13373030,52926312,,在世间，本就是各人下雪，各人有各人的隐晦与皎洁。,2019-09-18 17:01:29,12,18,0
3137111,52852153,,"9.15 夜景和服，没有灯iso开的比较高。
摄影/后期?：lhj
模特小姐姐?：三岁就很萌
出境地点⛩：兰岸围炉•栩家。",2019-09-17 17:56:26,16,18,0
13044147,52769073,,"广州YYYACG-A3漫展场照
出镜：@bi夏sama",2019-09-16 16:53:31,1,18,0
10541645,52746423,佳佳,,2019-09-16 10:56:06,5,18,0
5403035,40769976,,成不了心态的主人 必然会沦为情绪的奴隶 ​​​,2019-06-24 13:45:04,1,18,0
1183166,52927556,,,2019-09-18 17:19:06,4,17,0
8439065,41536614,,"Phx/Edit :  Ance 
코서 : 이초연 님",2019-06-29 15:05:21,1,18,0
7227562,40812305,,清新自然的和服总让我感受到少女的柔软,2019-06-24 18:54:10,9,17,0
3024947,41253375,,"记得那天   说了再见

我将你深埋在   心里面",2019-06-27 17:08:37,1,23,3
5522046,52986480,,不是所有人都喜欢你真实的样子，偶尔虚伪一下还是很有必要的，毕竟在当今这个社会，我们混得都不容易。,2019-09-19 12:18:14,6,15,0
11188167,41037501,,,2019-06-26 08:08:55,14,16,1
1025153,41001937,,和,2019-06-25 22:17:45,19,20,1
2299798,52278210,,一张和服，以后我有机会在分享,2019-09-11 17:47:08,1,22,0
6635745,52263921,,日系和服风美女,2019-09-11 14:12:42,1,15,0
1849461,52107003,,藏族姑娘,2019-09-09 21:07:07,1,21,0
1610430,51871632,北宁和服,,2019-09-07 13:00:20,9,24,0
7765104,51793279,,龙凤&quot;秀禾,2019-09-06 15:45:45,12,23,0
1173611,51415601,,《夏日祭》,2019-09-02 08:26:53,1,40,2
5522046,50118788,,世界上有两种人最可爱 一种是记性差的 第二种我给忘了^_^,2019-08-21 20:30:29,15,31,1
7186571,49080820,,,2019-08-14 00:23:38,9,16,0
4161531,48958505,,#和服#,2019-08-13 10:06:17,9,18,0
335947,48950494,,浴衣,2019-08-13 08:22:45,4,26,0
3217440,48503017,,和风少女,2019-08-10 10:48:57,1,35,2
1179820,47785456,日落,,2019-08-05 15:53:20,1,31,0
7126711,47088714,,"以清净心看世界，
以欢喜心过生活，
以平常心生情味，
以柔软心除挂碍。",2019-07-31 19:38:15,9,20,0
1950621,46738925,,,2019-07-29 12:25:46,22,11,0
3887432,46523037,,和,2019-07-27 22:43:17,3,14,0
1179820,46120373,大 鱼,,2019-07-25 09:52:52,16,39,5
1179820,45778294,日落 水木 风息 蝉鸣,和服写真,2019-07-22 23:52:10,4,69,5
5522046,45670434,,,2019-07-22 14:12:10,1,20,0
4522700,43877163,,"人 を 思 う 部 屋

拍摄：@婉约张-",2019-07-13 13:18:22,10,30,0
1868146,43308118,和服小姐姐,相片是在中山的一处仿日本街道的景区拍的。,2019-07-10 01:25:55,1,11,0
1333207,42931498,,人像.和服,2019-07-07 22:15:51,9,18,0
1656132,42440817,,亦如花火。,2019-07-05 09:11:47,9,94,5
11325177,42055265,一位和服小姐姐,"出镜：机智机智

       摄影 / 后期：木愈",2019-07-02 20:13:24,11,21,0
3132221,41996771,,日本.廉仓。着和服的母女。,2019-07-02 13:27:17,1,43,2
10456089,41754212,,,2019-06-30 20:50:03,19,14,0
8482493,40538858,,,2019-06-23 07:17:48,11,12,0
8155130,40489028,,こんばんは?,2019-06-22 21:57:13,37,11,0
10722340,40453024,,,2019-06-22 19:21:31,15,9,0
2355540,40136602,,,2019-06-21 07:25:11,1,20,0
11000920,40034123,,,2019-06-20 15:19:20,11,1,0
4341714,39213473,川岛沫子,"出境:沫沫
摄影后期:淘淘
坐标:重庆大学
欢迎约拍，喜欢的小伙伴可以加加关注！",2019-06-15 16:51:02,28,17,0
9985075,39200201,,?,2019-06-15 15:37:59,1,16,0
3733034,38287840,,奈良公园旅拍,2019-06-10 22:03:15,18,93,3
1554923,37262351,,芳华蹉跎，不过红尘一段歌,2019-06-07 07:44:38,16,72,2
