#2019-09-22
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
1025153,53103918,,,2019-09-20 20:31:18,5,17,0
1320641,53092040,,花 诞,2019-09-20 18:16:05,1,17,0
3616792,53080237,,"汉服摄影（缘起篇）
云渡泛孤舟      叶落自漂流
回首望雁字过西楼
曾记得当年幼  不识离人愁
笑语随风上柳梢头
魂梦过千洲      惟伊水东流
故园何年可映归眸
叹流年悠悠      相思几时休
秋水看不穿泪盈袖
看繁华尽头      何人共白首
时空遗落身后  空留一杯酒    
若能再聚首
只盼往事如梦笑颜无忧
芊泽离离香如旧",2019-09-20 15:41:40,9,17,0
29731,49961063,年轻的老何,年轻的老何，老何本来很年轻，奈何插画师（老隋）在贝加尔湖拍开启了叫老何的先河，天天受插画师影响，一众人不管年纪都叫老何！老何！老何！老何实际看起来是个像80后的70后，保养的很好，看那健翘的臀大肌… 在带队教学拍摄的过程中，给队员拍摄一张值得回忆的照片（装…）是我比较高兴的一件事儿。,2019-08-20 15:56:31,1,188,19
1526146,41536914,,午后,2019-06-29 15:07:27,9,18,0
1766028,41389868,2019.6.27鸳鸯楼17号,,2019-06-28 15:57:33,8,20,0
299326,39584837,红房子,色光，结构，元素，正好！,2019-06-17 14:56:20,1,156,15
2598956,33593078,,"出镜：静儿
场地:@有映画工作室
VB:@酱紫image
VX:565010799",2019-05-23 21:38:29,9,471,14
1631468,51451840,,,2019-09-02 17:27:54,4,107,2
2465027,50646823,,《上海陆家嘴滨江》系列,2019-08-26 02:43:13,1,65,9
288563,41314769,一部分,街头摄影,2019-06-27 23:27:23,1,22,0
267872,50897492,马蹄莲系列之十,和第九张同一个地方不同的地点拍摄的,2019-08-28 13:34:53,1,336,26
1554764,45572075,,无题,2019-07-21 21:44:53,1,280,20
1901149,41592835,,我们的故乡，于2019年4月中旬拍摄于合肥市安徽博物馆。位于安徽博物馆的四楼有一面安徽全省的地名墙，每当开放日，在博物馆的参观人群，都会经过这里，或观望，或驻足。对于来合肥的外乡人，或许都在搜寻自己故乡，在心里想念故土的亲人与朋友。愿这份美好永留心中。,2019-06-29 21:04:37,6,25,0
3508387,41556633,,六月的雨,2019-06-29 17:22:46,18,29,0
1495334,38789532,《纱与首饰概念人像》,"摄影：老黑君
出镜/后期：wanghongyan",2019-06-13 12:38:02,12,424,32
2465027,36400995,,《小花》系列,2019-06-03 18:39:26,1,181,45
1142704,21176445,冰雪北境,"三月的挪威北部
依然沉浸在冰雪世界中
雪后柔和的阳光
徘徊于冰点之间
那份宁静
唯有冬季",2018-08-26 15:03:29,8,2384,93
5277329,53146667,,情绪,2019-09-21 10:39:24,6,14,0
1145421,52165764,帆船,,2019-09-10 11:40:10,1,127,7
1737793,46963068,,天空,2019-07-30 21:24:48,11,305,13
3650105,41594612,,,2019-06-29 21:13:44,1,14,0
2309246,41532040,,来自天堂的魔鬼,2019-06-29 14:32:34,18,16,0
7088220,41508257,西九龙,,2019-06-29 11:39:46,1,19,0
2796334,37059627,HOT GIRL 2,,2019-06-06 11:28:23,1,208,9
1421720,16986076,校园时光,,2018-03-18 10:20:21,19,6395,198
14188310,52978845,,一瞥,2019-09-19 10:16:29,1,13,0
8090510,51586510,黑暗中的我们都没有说话,"摄影：船长大人
麻豆：瑶",2019-09-04 00:51:08,9,40,0
2329454,47352921,腿,,2019-08-02 16:23:57,1,240,14
8191821,41578105,,The rainy day,2019-06-29 19:40:15,1,15,0
1101630,40930847,少女心事,,2019-06-25 14:53:43,1,223,2
469811,35398531,修斯山的灿烂日出,"拍摄于2018盛夏，意大利多罗米蒂风光摄影实战教学带教中。

三张横拍接片，加曝光合成。

意大利多罗米蒂是我们三栖影社的实战教学基地。今年的8月和9月将联手北美风光大师Henry老师共同带领学员再次返回到那里去领略和记录意大利多罗米蒂的秀丽多姿的魅力！

”三栖影社“两位导师的协作会赋予学员双倍的创作灵感, 传输双倍的摄影经验。给予双倍的关照指导。",2019-05-31 07:47:49,1,610,48
107570,23029947,5000年的等候,贾思博一个小湖边，一个天鹅一样的树根，引得人浮想联翩........ 从什么时候开始在这里等待，苍老的记忆早已模糊，，只记得你展翅离开时，风中你依稀的诺言。 于是，从寂静无风的黎明，到雾霭笼罩的傍晚，从芳草兮兮的夏日，到白雪皑皑的冬夜，再从从侏罗纪，一直到到白垩纪...... 我将轻盈的羽毛拔下，变成可以扎根于此，粗糙而坚硬的树根，坚定最后一丝被黑夜吞噬的信念，支撑我仰望天空的颈项，朝向你离去的天空，再等5000年,2018-10-11 12:33:18,1,1258,57
346378,15835364,长路漫漫,我奋不顾身向前奔跑，找寻心中的答案。,2017-11-26 22:11:07,1,1008,38
2465027,47032922,,《上海新天地》系列,2019-07-31 12:25:00,1,111,18
395013,46608705,后期调色全靠感觉？浅谈主色调、聚焦色和辅助色理论在摄影后期中的应用,大多数摄影爱好者都是全凭感觉进行后期调色。但对于美术基础较弱的朋友而言，这种凭感性调出来的色彩往往比较糟糕。因此托马斯会陆续介绍一些基本的平面色彩知识，帮助大家用理论去辅助调色。一张平面作品中的颜色，按功能主要可以分为三类: 主色调、聚焦色和辅助色。理解这三种色彩在画面中的作用，有助于我们合理的安排各种颜色的面积、形态、位置、色相、饱和度、亮度等等参数。1. 主色调主色调是画面中面积最大的1-2种颜色...,2019-07-28 15:08:54,0,323,22
2465027,41697901,,《游·陆家嘴》系列,2019-06-30 14:54:05,1,25,2
2465027,36400716,,《小花》系列,2019-06-03 18:38:32,1,69,6
1437486,29354947,,,2019-03-28 14:08:20,30,268,7
104938,14219249,生活日记（一）——coincidence,我最迷恋的，除了大自然的极致还有市井街头的平凡，我会经常穿梭在巷陌，记录那些有趣的画面，品味生活的百态。,2017-03-10 09:36:55,10,3566,217
1169444,12844009,【俊影作品 】------ 楚楚红衣,"​烟花最美不过天边残霞，双骑追风并辔纵马当时惟愿携手天涯，
时光如流沙这海誓山盟一瞬光华，乍然陌路冷眼交拜新人楚楚红衣红烛，是眼前或天尽处，
只那夜大雨如注扬长而去身后不顾，看这一场赌最后谁输 .... ...


【出镜：丹婷 】
【摄影、后期：俊影】",2016-01-17 20:35:00,10,1588,27
1029578,51600416,夏之蝉,@长沙莫奈花园摄影民宿,2019-09-04 09:05:42,17,46,3
7088220,51091826,乌克兰女生,,2019-08-30 09:46:14,1,54,3
1408220,44761144,,我也太喜欢美女了，我感觉自己上辈子就是个美女！,2019-07-17 15:27:01,19,295,4
1205458,41657924,,「往事如烟」,2019-06-30 10:15:51,7,18,0
2465027,39905345,,《城市街头》系列,2019-06-19 17:53:41,1,114,18
960255,38592704,【日与月】,演绎：@詹詹Celine  摄影：我 ​,2019-06-12 12:42:40,9,180,7
2465027,33250764,,《夜晚的朱家角古镇》系列,2019-05-21 19:01:12,1,63,4
1299678,29956110,,,2019-04-02 17:42:28,1,576,34
1299678,28050062,夜景烟花唯美人像调色后期教程,"1. 夜景人像后期分析, 相信大家都有拍过夜景不管是风光还是人像多多少少都会涉及到,那么当我们拍摄完成一组夜景相关的片子后, 回到家放在电脑上面一看往往和当时拍摄的会有出入, 遇到一些我们拍摄当中解决不了的事情, 比如拍摄完成后片子色调不是很准确当时拍摄的时候色温把握不到位, 拍摄场地主体和背景明暗关系相差很大等等, 在这样的环境下拍出的照片往往比白天的拍摄要困难一些, 注意的细节和光源都非常重要, 在这样的情况...",2019-02-27 22:37:27,0,1749,78
1856420,26194030,2018年夏天的西瓜,这几天在整理过去一年的作品，发现还漏掉了一些碎片，挑点喜欢的补上来吧,2019-01-08 15:54:38,2,475,30
348471,19182569,久别重逢,"人生最好的三个词：
久别重逢 失而复得 虚惊一场",2018-06-08 21:47:17,9,2564,58
784752,52336353,平静的独处,平静的独处,2019-09-12 11:49:46,15,30,0
2465027,51859465,,《上海田子坊》系列,2019-09-07 10:24:22,1,57,8
1166456,51854976,子梅之巅,子梅之巅,2019-09-07 09:14:21,1,242,11
1166456,51765804,asdasdas,asdasdas,2019-09-06 08:53:49,1,257,11
1323853,50118132,仰望,"In frame: 小星星
August 6th,2019,Hangzhou",2019-08-21 20:25:22,1,65,6
1178619,45838594,,"【留·夏】
我们的青春里，有太多人，来了，又走 …
有人说，当你梦见一个很久没有见面的人，说明这个人…正在忘记你…",2019-07-23 13:36:45,17,113,10
1597742,42749623,,,2019-07-06 22:51:09,14,40,3
4012396,41585309,待荼蘼开过后,突发奇想，致敬the lover。,2019-06-29 20:22:44,15,16,2
1494816,41575900,,"这个姑娘带着故事过来。
断断续续的，我在闪光灯的间歇里，看到了她的一段人生。
她说话的声音轻柔，快门声打着拍子。
很有幸，能听到这样一段婉转悠扬的故事。
很有幸，能做摄影师这个职业。
我愿意为你们记录下更多的人生。
在镜头前，去掉伪装，找到你自己。",2019-06-29 19:27:03,9,12,0
1166456,32296958,sdfsdfsd,sdfsdfdsf,2019-05-07 08:33:04,1,405,37
346378,30715376,寂静,寂静,2019-04-10 17:28:23,1,338,28
5551656,26819472,,海洋蓝,2019-01-26 12:48:25,9,975,73
348471,16597966,你也要开心啊,"“每一个人都叫我要开心，
然后留下一句你要开心啊
就离得远远的。”
出镜：小鹿纯子Lilian",2018-02-21 13:39:21,8,4082,129
29731,14159920,镜面世界｜天地之间,,2017-02-26 22:43:49,1,1359,19
107570,50557319,玄武岩与海,第一次带队到火山岛，海边遍布高低错落的六棱形玄武岩，这种玄武岩是岩浆冷却后形成，千万年后，像迟暮的老人，在朝阳升起时，伴着海风喃喃的讲述着当年从地心喷薄而出，落地却依然决绝，那些剧烈而又辉煌的往事，海浪如岁月的触手，轻柔的拂过粗粝沧桑的礁石，将他们的故事带到大海深处，遥不可及的大海深处，或许是他们永远回不去的故乡~~,2019-08-25 13:46:23,1,365,29
8090510,47631047,怀念,"闭上眼怀念旧时光的从前
By船长
出境：YZY",2019-08-04 15:08:07,1,33,0
2465027,45808036,,《上海老外滩》系列,2019-07-23 09:53:07,1,72,8
2465027,43769309,,《上海滨江大道》系列,2019-07-12 22:00:29,1,111,24
1166456,39035054,dfdsf,sdfsdfsd,2019-06-14 19:05:53,1,379,24
271682,33191871,花痴,"模特：慢慢

最近尝试推荐模特成为小红人，欢迎大家来预约哟",2019-05-21 08:54:21,8,141,8
2767080,29089903,,,2019-03-24 08:47:47,1,91,2
762919,23892889,鲸向海 鸟投林,,2018-11-02 12:46:38,25,288,17
1320641,19160830,,拍摄于然乌湖 时值七月,2018-06-07 21:43:09,1,397,26
2976763,19135410,Guardian Angel,"世界并非非黑即白
还有五彩斑斓。
生活以痛吻我，
我却报之以歌。

出镜：三三",2018-06-06 17:14:27,18,368,6
1102393,16371524,古风,雪之韵,2018-01-29 19:57:20,5,406,13
1315054,53130503,万绿丛中一点红,,2019-09-21 01:02:57,1,8,0
1437486,52334101,,,2019-09-12 11:16:20,9,38,0
1370450,49539931,迷雾丛林,移轴镜头,2019-08-17 13:38:50,1,63,3
495144,47253200,晚安3,微博：FalconZ_,2019-08-01 21:19:39,4,306,10
1181047,53111638,,"毕业季拍的一对儿情侣分手了，这是之前挑剩下的废片，觉得构图光线细节都不太好，不过做成黑白的还蛮有感觉的

可能爱与被爱真的是一种需要好好锻炼的能力吧
那些我们在心底默默发誓要好好对待的人，真的有付出足够的耐心了吗

但不管未来如何
那1/1600秒的感情是真挚的 做不得假
这就是照片的意义吧


PS：
随便你牵谁的手，只要你活得更长久~",2019-09-20 21:42:37,1,20,0
1145421,51502190,航行,,2019-09-03 05:56:30,1,232,16
1709321,53159221,,低调为了生活在自己的世界里，高调为了生活在别人的世界里。,2019-09-21 13:18:07,20,19,0
415392,53152392,,,2019-09-21 11:53:06,1,19,0
1320641,53091847,,"老树

拍摄于杭州西湖，岸边的老树垂在西湖水面上，树干和水面即将接触在一起，看似短距离的接触，实则跨越了百年。",2019-09-20 18:13:26,1,19,0
1766666,49862314,雨天遇到你,,2019-08-19 20:18:13,38,104,7
1838013,41496747,,,2019-06-29 10:07:09,3,22,0
2976763,41492847,你是年少的欢喜，倒过来念也是,,2019-06-29 09:27:26,11,526,13
395013,15516574,众神之界,"这是我在格陵兰徒步探索的2个月中，最为梦幻的一个夜晚。
当时连续2天降雨，我已经在帐篷里憋得不行。突然一束月光打到了帐篷上，惊的我连忙出去查看。只见风暴过后云开雾散，远处的巨峰岩壁全部被白雪覆盖，在月光下闪闪发亮，犹如众神降临人间。
我来不及整理，匆匆抄上脚架和相机就冲到了小河附近，一直创作到了月落时分。连续在河边待了4个小时的我，早已快要冻僵，正准备回营休息。此时更加炸裂的一幕出现了，漫天的极光开...",2017-10-12 08:07:50,1,2356,82
958316,45997172,,休息会，爱恨都太累了,2019-07-24 13:43:15,11,811,8
2305853,45113034,「我在光影里患过的忧伤」,"渗入我心底的温柔  

回忆也只能对着镜子  

相互凝望",2019-07-19 12:58:45,9,746,41
2465027,41542673,,《costa》咖啡馆系列,2019-06-29 15:48:17,1,22,2
1166456,40372295,dfhdfgh,dfgsdfgdsf,2019-06-22 12:19:21,1,395,32
1320280,13664188,举世皆浊我独清、众人皆醉我独醒,"摄影：@阿末photo     
出镜:@你好-erin",2016-10-31 17:42:13,12,3086,102
1395014,53098368,试图打捞湖面中的星辰，却遁入你眼眸里的一生,"出镜：文雅
摄影/后期：@执波启PG",2019-09-20 19:32:09,25,17,0
62853,52974188,柏林，2018,"被牢记的黑白

W 知道
我喜欢黑白，就像无药可救一样。
单色不是你要的相思，
缄默的日子，
可否知道有一个声音在相思的那一头
也许是鞠躬尽瘁，也许
所欲之所遇之缘分
只是需要简单明了
或是有意，或是无谓，
而我就在黑白的隐匿所。

被牢记的黑白，
还有你。",2019-09-19 08:43:00,16,15,0
1733252,41503953,一组肖像,摄影：强子老师,2019-06-29 11:07:50,4,21,0
3206520,30593241,,背,2019-04-09 10:01:05,1,349,19
1733252,46848276,外模一组,,2019-07-30 00:42:01,4,131,10
1453968,45894016,,摄影后期 一丁光影,2019-07-23 20:13:39,15,122,6
1730178,44528415,不是梵高,摄影：@CC小姐呀,2019-07-16 11:54:08,14,122,1
3262232,31886749,婷婷,,2019-04-30 13:45:24,1,338,7
1343094,20667681,樱桃味的黑白,"用黑白来修饰所有的无所适从，没有征兆的灰让我的午后变的绵长……。
感谢摄影师海螺壳",2018-08-08 17:12:10,9,1723,39
310799,32714477,夏日午后,夏日午后,2019-05-14 17:55:28,2,369,34
1008714,31313539,《执念》,"很多时候蒙蔽我们双眼的不是假象，而是自己的执念；使我们看不见真相的往往不是谎言，而是我们自己的自我。

摄影、后期：流星
模特：Karina Foxie
化妆造型：泳男",2019-04-19 15:43:16,5,317,16
7553604,53177228,瞳,她在看什么呢？,2019-09-21 17:01:35,1,13,0
6371305,53169768,,"如果你来访我

我不在

请和我门外的花坐一会儿

它们很温暖

我注视他们很多很多日子了",2019-09-21 15:30:50,29,13,0
309398,41106996,Mar.23,,2019-06-26 17:39:54,9,178,3
1012961,52231120,,新工作室的试拍,2019-09-11 00:01:54,14,26,1
1145421,51186428,角楼,,2019-08-31 05:20:14,1,245,23
495144,46423178,,晚安 2 /,2019-07-27 11:22:03,5,61,1
438396,33203018,桥,,2019-05-21 11:22:04,1,241,22
2465027,32907162,,《朱家角》系列,2019-05-18 01:14:49,1,70,10
346378,31208441,落日熔金,落日熔金,2019-04-17 18:32:07,1,326,28
348471,19241574,祝自己生日快乐,"生日快乐 ?依然知足感恩珍惜
永远十八岁 永远少女心 永远康健喜乐",2018-06-11 12:42:30,9,2712,138
395013,16904479,生而孤独,"We’re born alone, we live alone, and we die alone. Only through our love and friendship can we create the illusion for a moment that we’re not alone.",2018-03-13 08:35:50,1,2607,111
1124419,52256364,沙发,,2019-09-11 12:24:52,16,65,2
1756812,42856984,等一朵花开，在那年花落,等一朵花开，在那年花落,2019-07-07 16:11:43,13,201,6
299326,29130188,现实与超现实,，，，，，，,2019-03-25 08:43:07,1,139,8
1315054,53130609,日照金山,,2019-09-21 01:03:52,1,10,0
1501184,49408570,你的夏天 ，是什么颜色的？,"夏天物语
预告",2019-08-16 14:03:58,1,271,32
294517,47352171,半段留声 葬半生过往 （下）,"隐一生荒唐
怎料离别的匆忙
饮尽桃花酿
是你埋藏的过往

岁月不老天地却苍茫
可笑相知不敌情长
旧日相伴空设相思的执妄
就将它埋葬",2019-08-02 16:18:07,16,182,12
1064195,14028462,《织梦》,"回忆为筏，旧梦织成新茧，
若时光折叠，愿还能遇见当时的你。
出镜：花花
文案：echo",2017-02-02 09:08:08,9,2736,139
1008714,49409766,日出时分,心中有光，就有前进的方向,2019-08-16 14:14:05,1,200,8
1315054,53130468,梅里雪山云雾缭绕,,2019-09-21 01:02:28,1,8,0
469811,50389686,优胜美地的晨雾与瀑布,2018年3月拍摄于美国国家公园优胜美地。优胜美地一个特别景观就是到处可见山间流淌着瀑布挂在崖壁上，巍巍壮观。,2019-08-23 23:54:40,1,403,35
309398,47742791,Aug.3,,2019-08-05 09:53:26,22,38,0
1598371,27649363,前期5毛钱道具 + 后期6招柔焦技巧，教你拍摄柔美梦幻人像片！,朦胧梦幻的片子很受女孩子的喜爱，毕竟每个女孩子都有个梦幻的公主梦嘛O(∩_∩)O哈哈~今天就来分享摄影中前期如何用5毛钱的道具圆你的梦幻写真梦 + 后期6招柔焦技巧让你的照片梦幻起来！！前期实现方式1、大光圈拍摄首先拍摄时一定要开大光圈，因为大光圈的虚化功能可以更好的拍出朦胧的效果。尤其是在拍女孩子的梦幻写真时，大光圈可以将女性的肌肤拍的细腻些，没必要用太小的光圈将脸上的瑕疵之类都拍的清清楚楚。2、自制滤镜拍...,2019-02-17 14:06:56,0,1198,39
2574940,19827568,一直存在的孤独,,2018-07-07 23:08:54,8,596,11
