#2019-09-22
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
3892672,46467745,,,2019-07-27 16:59:44,12,1073,0
1184254,43005223,小菲,,2019-07-08 11:58:08,3,24,0
1884440,42844886,,,2019-07-07 15:01:05,1,24,0
1884440,42004023,,,2019-07-02 14:15:49,1,12,0
11331693,41520032,,,2019-06-29 13:07:20,1,12,0
1884440,39650767,,,2019-06-17 21:44:39,1,28,0
1341135,28588297,你说柠檬是甜的,,2019-03-12 20:32:29,11,1029,37
3338682,17718052,也许他会回来,,2018-04-16 18:08:43,8,40,1
2299484,16415650,她的星期天,,2018-02-03 23:57:00,6,100,1
1056061,15080959,へそくりシリーズ,"何でもない今日
アタシには特别。
初めてふたりだけで会えるから。
期待しちゃうよ…
ただの暇つぶしでも。
キミとの、距离が近くなった気がした。
元カノはアタシより
ずっとカワイイ人…
でも负けない。
本気で恋してる。
『大好き』って言いたくて
何度もキミの颜を见てた。
神様お愿い…
大好きだって伝える勇気ください…
『大好き』",2017-08-03 15:33:26,11,120,2
998297,14810640,《summer sports》,"观想摄影出品
出镜：冯婧
摄影/后期：霂青衣
造型：黄媛
灯光：吴SIR",2017-06-17 19:47:40,9,51,0
1946764,17753144,想保护的女孩,,2018-04-17 13:50:43,9,84,5
1946764,17588668,她很可爱,,2018-04-12 20:29:09,12,83,3
1845366,16920746,S,更多作品更新请关注微博 ：@ a小先生,2018-03-14 02:47:44,9,76,1
3733034,25752064,柔软的时光,"当时光停在这里
窗外有风有雨
却没有一点证据
曾经我们相遇

当时光软弱无力
窗外晴空万里
却没有留在记忆
又是一个冬季",2018-12-26 14:15:37,9,83,1
7134327,39548392,,撩你心弦,2019-06-17 10:45:02,10,123,0
2716271,40897023,,,2019-06-25 10:35:57,2,587,10
2574940,40610966,旧时光,,2019-06-23 15:39:28,1,353,10
1554764,52982094,,"lightroom都仅调了亮度后导出，k=4100。
出镜：差不多先生(国航的小姑娘)",2019-09-19 11:08:29,1,59,4
1193087,52694499,,"夏末小清新

出镜:十三姨",2019-09-15 19:17:09,6,64,1
1186013,36871562,,那天下午房间光线很好 。,2019-06-05 15:03:09,8,76,0
1684158,53009760,,回眸,2019-09-19 18:17:10,1,40,2
4102453,31669347,,你的模样,2019-04-26 08:31:20,6,274,4
1838664,29465636,,,2019-03-29 11:51:33,7,751,17
68408,32846963,,私房,2019-05-17 09:25:54,1,223,8
2767080,28916612,,,2019-03-20 08:47:33,1,328,4
3206520,52932668,,"孤独患者

在光的身后 时间把过去都带走
时间把你带走 连同我的表达欲",2019-09-18 18:32:46,3,33,0
1299495,35515713,,"「你是我的眼  让我看见这世界」
拍腻糖水找点不同感觉，感谢模特微微的敬业和宽容度",2019-05-31 20:13:28,11,277,14
476401,32247669,『D.va』,"微博：摄影师文珺Ronnie
微信：ROS_STUDIO
接写真客片和淘宝等商拍合作，同时组织人像拍摄活动。
上海及周边能参加活动的摄友请备注“图虫拍摄活动”；其他摄友请备注“图虫”",2019-05-06 10:50:29,1,1071,31
1870073,24702385,蓝色,,2018-11-26 10:29:01,9,1411,61
1940699,28828200,,图透一下，修出来了特别喜欢的色调,2019-03-18 08:43:23,4,583,6
2747704,50555928,初见心动。,,2019-08-25 13:33:25,16,91,6
2716271,19429772,kitty,,2018-06-20 09:52:05,4,732,3
1340957,52836515,,你所有的不经意都是事先的安排,2019-09-17 14:00:06,1,26,0
1531970,29160067,22,,2019-03-26 00:04:00,3,661,14
1095427,52370718,,"《橙》

更多作品微博：@徐和平阿",2019-09-12 19:26:00,6,78,1
1590219,41656736,练习,体操服,2019-06-30 10:05:30,2,559,10
1730178,51431480,私房照姿势大全,经常拍私房会被很多人羡慕我也不知道为什么大概男生会比较羡慕私房女摄言归正传拍多了私房会被很多人请教怎样引导模特？我就拿这一套片子举个栗子首先，你要和模特熟络起来璇也是拍摄这天我才第一次和她见面在拍摄前我就边帮她卷头发边聊天聊什么呢？根据模特的爱好、家乡、偶像之类的吧或者聊聊你要拍的照片的想法我一般和我的拍摄对象都是自来熟想到啥就聊啥逗比一点、开开玩笑更好啦接下来说说引导姿势： 一、坐姿自然的看镜...,2019-09-02 12:51:08,0,61,4
1113342,50581583,,,2019-08-25 17:26:36,11,163,0
1733822,49843208,,炙手可热w,2019-08-19 17:38:15,1,49,0
2634795,47087041,背后的拥抱,,2019-07-31 19:26:36,15,380,13
3548362,41756022,所有想你的瞬间,,2019-06-30 21:00:08,18,412,9
1101630,31159452,会发光,,2019-04-16 21:08:30,1,237,8
529822,33128926,东风破,"一盏离愁 
孤单伫立在窗口
我在门后 
假装你人还没走
旧地如重游 
出境模特：_Daisy喔 （微博）
月圆更寂寞 
夜半清醒的烛火 
不忍苛责我",2019-05-20 16:45:41,11,336,19
1554764,51950827,,,2019-09-08 07:01:24,1,206,8
1325937,49512541,,花絮,2019-08-17 09:24:37,2,142,4
