#2019-09-21
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
3310003,52979448,,,2019-09-19 10:25:49,1,698,0
3699554,52977042,晨归恒河,"瓦拉纳西的清晨

微信公众号：chalffychan | 微博；chalffy_",2019-09-19 09:44:07,1,577,65
3229965,30965762,граница ,@Thomas看看世界,2019-04-13 22:27:09,1,8913,119
1134163,15898904,晚秋,银杏渐落，初冬将至~,2017-12-04 19:04:44,17,9008,428
1771734,52856377,,进步是目的；理想是标准。,2019-09-17 18:54:43,1,252,17
1762190,51002372,,你的名字,2019-08-29 13:02:50,5,481,24
469811,52971714,俄勒冈州美丽的水 3,俄勒冈州30号路是一条沿着哥伦比亚河南边，长约121公里，历史悠久的风景优美公路。其中最漂亮，最多经典瀑布的一段绿色长廊在2017年被山火烧毁。我2018年的5月到达那里时，仍然被封闭着禁止进入。当时非常沮丧，难到我这趟专程来拍摄的几个有名瀑布就这样无缘相见吗？但还是要因地制宜：尽量发掘一些小景河流，以及边远的瀑布拍摄。因为寻求边远的瀑布，自然会遇到不少困难。敬请持续关注下面每个瀑布的拍摄故事。,2019-09-19 07:24:05,1,243,15
3007807,42312138,,唯美食美景不可辜负呀，想念小吃街,2019-07-04 13:40:28,1,2618,20
469811,52818095,俄勒冈州美丽的水 2,"2018年5月拍摄于美国西海岸以美丽河流瀑布为特色的俄勒冈州Oregon。请参看上一张“俄勒冈州美丽的水 1。 你更喜欢哪一张？

刚从意大利山区带教风光摄影实战教学班回到家。很快又要出发加拿大班服国家公园带教拍摄。",2019-09-17 08:45:41,1,230,15
395013,38759241,国家地理全球大奖！Grand Prize of Natgeo Travel Photo Contest 2019,"我的照片获得了2019年国家地理摄影大赛全球总冠军+城市类第一名！
从开始喜欢地理探险的那时起，登上这个世界性舞台对我而言，一直都是非常遥远却不断在努力的目标之一。未来还要继续探索，将更多的原创影像呈现给大家。
感谢图虫小伙伴们的支持！",2019-06-13 09:13:41,10,5861,389
1771734,52986869,,我是太阳,2019-09-19 12:24:29,1,207,17
1771734,52814653,,"如是我闻 
大悲无泪
大悟无言
大笑无声",2019-09-17 06:23:30,1,203,18
1890818,52704648,拉萨篇：布达拉宫E,摄于布达拉宫广场。,2019-09-15 20:55:50,1,200,56
1890818,52705099,拉萨篇：纪念碑,摄于布达拉宫广场。,2019-09-15 20:59:51,2,193,53
1890818,52704814,拉萨篇：布达拉宫东广场,,2019-09-15 20:57:27,1,189,54
3229965,22806197,,奎屯 白杨河,2018-10-07 08:22:37,1,6997,187
1771734,52894905,,对于一个独处的个体而言，是不需要任何人的挂念，就算被整个世界遗忘那又如何？,2019-09-18 07:56:55,1,181,18
2968206,16153211,失恋公路,"几个月前，原本要跟女友一起旅行。结果临出发前我们分手了。无奈的我只能自己一个人开车上路。这是一段4个月的独身公路旅行。所以边打工边旅行。我曾经在澳洲最有名的酒区barossa valley酒庄采葡萄酿酒，在中部荒漠里的澳宝重镇coober pedy挖矿淘宝，在北领地无人区glen helen的度假村里洗盘子。因为心里不切实际的小浪漫，我把车后座改成了双人床
一路都睡车上。非常喜欢那种拉开窗帘就能看见漫天银河的感觉，也喜欢早晨被穿过...",2018-01-02 13:57:51,10,6815,286
1890818,52998397,多彩盐湖（2）,摄于查尔干盐湖。,2019-09-19 15:21:47,2,178,45
1890818,52773500,拉萨篇：布达拉宫西广场,,2019-09-16 17:58:18,2,178,48
2985515,41074612,,江西•庐山,2019-06-26 13:37:24,1,242,38
1890818,52998324,多彩盐湖（1）,摄于查尔干盐湖。,2019-09-19 15:20:37,2,175,49
1535376,52095836,令人怦然心动的「日系写真」，就该这么拍！,Air君有话要说日系色调的写真，总是让人看着很舒服。干净、清爽、纯粹·····一切美好的词汇似乎都能放在它身上，而这类写真也非常受妹纸们的喜欢。不过怎么才能拍出人见人爱的日系写真呢？今天，Air君就给大家分享下摄影师三园猫的《日系写真拍摄指南》，教你如何快速拍出干净舒服的日系写真。夏天最适合拍一套清爽干净的日系写真啦，但如何可以快速拍出一组这样的照片呢？这次我会从前期色系搭配、构思、相机设置、后期调色来进...,2019-09-09 18:58:28,0,359,12
1890818,52998489,多彩盐湖（3）,摄于查尔干盐湖。,2019-09-19 15:23:15,2,169,59
1771734,53144036,,远离尘嚣,2019-09-21 10:02:54,1,168,23
1890818,52844422,林芝篇：天佛瀑布,摄于林芝卡定天佛瀑布。,2019-09-17 16:02:56,2,169,40
1890818,52773780,林芝篇：千年古柏,摄于林芝柏树王景区，这颗古柏据说有2000多年树龄。,2019-09-16 18:02:12,2,167,55
2985515,41036828,,西双版纳大桥,2019-06-26 07:56:36,1,200,28
1890818,52915626,林芝篇：小溪,摄于天佛瀑布景区。,2019-09-18 14:05:17,1,165,49
1890818,52915531,,摄于林芝。,2019-09-18 14:03:47,2,162,51
1771734,52547573,,"一人一牛一蓑衣，
一天一地一世界，
或入凡尘？
或入梦乡？
这里一切都显得那么安详，突然有一种想回家放牛的冲动，那里没有生活压力，没有城市的喧嚣，没有江湖套路，没有爱恨情仇，我只关心我的牛还在不在，就放一头牛，多了也数不过来，牛在吃草，我在睡觉。",2019-09-14 12:21:35,1,370,44
1890818,52844758,林芝篇：清泉,摄于林芝天佛瀑布景区。,2019-09-17 16:07:18,2,161,53
2985515,41190947,,江西•庐山,2019-06-27 08:28:13,1,191,39
1890818,53081961,多彩盐湖（6）,查尔干盐湖随拍。,2019-09-20 16:04:15,1,157,59
2985515,53053337,,广西•德天瀑布,2019-09-20 08:43:48,1,151,21
5004619,40734114,,番禺·南浦岛,2019-06-24 08:55:39,11,181,8
500039,52821256,长城·烈焰,"初秋金山岭长城
微博：http://weibo.com/bbsyyd",2019-09-17 09:52:57,1,147,9
1893160,40792168,,"佛山歌剧院
2019年6月20日拍摄于佛山市禅城区东平河北岸。",2019-06-24 16:29:09,1,179,29
2985515,40815450,,广东•亚洲艺术公园,2019-06-24 19:15:19,1,162,19
1543546,41295637,,,2019-06-27 21:45:46,1,188,9
1543546,40835857,,,2019-06-24 21:14:53,1,174,3
409827,13672799,山川／河流,"时间带我们阅过山川河流／
最后我们终将找到自己的湖泊",2016-11-02 22:58:09,10,2976,76
3834109,41497231,,中轴之夜,2019-06-29 10:11:36,1,260,73
2985515,40881594,,广东•亚洲艺术公园,2019-06-25 07:08:34,1,170,24
2985515,52820947,,云南•普者黑,2019-09-17 09:46:35,1,140,28
6958557,41216791,,,2019-06-27 12:31:48,5,158,6
1628131,52901333,青海湖,,2019-09-18 10:19:16,1,136,6
2981258,51790697,,壁纸*1,2019-09-06 15:09:56,1,539,35
1543546,40964334,,,2019-06-25 18:48:21,1,171,7
2985515,40881883,,云南•双廊古镇,2019-06-25 07:14:03,1,154,19
6958557,52756518,,,2019-09-16 13:32:14,1,134,6
5312561,52832909,,色戒片段部分照片,2019-09-17 13:05:24,7,141,0
1287058,41395372,记录自然 享受自然,,2019-06-28 16:38:37,1,192,29
2985515,41189594,,江西•庐山,2019-06-27 08:05:19,1,161,21
6958557,52895564,,,2019-09-18 08:18:36,1,129,4
6958557,52760866,,,2019-09-16 14:43:47,1,129,2
2985515,52639453,,云南•坝美,2019-09-15 08:10:33,1,129,19
6958557,52826343,,,2019-09-17 11:17:43,1,127,3
2985515,41412044,,云南•双廊古镇,2019-06-28 18:39:39,1,155,17
2985515,41340342,,江西•李坑,2019-06-28 09:17:04,1,153,18
1890818,53081934,多彩盐湖（4）,查尔干盐湖随拍。,2019-09-20 16:03:53,1,127,41
2985515,53000671,,广西•鹅泉,2019-09-19 15:57:15,1,127,22
6958557,52826301,,,2019-09-17 11:17:08,1,126,4
6958557,53056462,,,2019-09-20 09:43:33,1,125,4
3577740,40605702,,俯看体育馆，犹如一个巨大的哨子，保障比赛的公平公正！,2019-06-23 15:08:30,1,191,11
6958557,52815695,,,2019-09-17 07:28:10,1,124,2
381177,16121235,致---2017,,2017-12-29 19:15:57,20,3091,99
1890818,53081949,多彩盐湖（5）,查尔干盐湖随拍。,2019-09-20 16:04:04,1,122,30
6958557,52907832,,,2019-09-18 12:02:59,1,123,1
3118968,52743743,编织生活,拍摄于顺德伦教镇。,2019-09-16 10:11:39,1,124,45
1543546,41295461,,,2019-06-27 21:44:47,1,162,9
2985515,52859017,,云南•普者黑,2019-09-17 19:28:27,1,123,16
2985515,52761084,,云南•普者黑,2019-09-16 14:47:32,1,122,11
2303254,52900014,红蜻蜓,翠鸟看到一只红蜻蜓在它面前飞来飞去，感觉很纳闷，心想你就不怕我吃你吗？,2019-09-18 09:57:21,4,120,22
2985515,52897917,,云南•普者黑,2019-09-18 09:16:52,1,119,24
3834109,40922526,,塔下风云多变幻，唯有葵花向日倾……,2019-06-25 13:51:12,2,163,68
1543546,40964253,,,2019-06-25 18:47:53,1,149,10
2985515,52994143,,广西•鹅泉,2019-09-19 14:13:34,1,117,26
3978721,52815967,换角度之二,,2019-09-17 07:40:05,1,116,59
2985515,41187963,,江西•庐山,2019-06-27 07:31:34,1,145,24
3834109,41366625,,旧村与新城,2019-06-28 13:02:17,1,208,56
1890818,41036112,碧波荡漾,抓拍于尉犁县葫芦岛。,2019-06-26 07:39:56,1,179,62
1890818,40735713,高原风光,摄于帕米尔高原。,2019-06-24 09:15:29,2,200,73
5125683,52639594,留学,,2019-09-15 08:14:04,1,115,20
3190024,52825744,,湿地秋色,2019-09-17 11:08:22,1,110,36
1543546,40835726,,,2019-06-24 21:14:13,1,125,5
4587956,40745582,,目不暇接,2019-06-24 10:47:14,1,164,72
2985515,52820866,,云南•普者黑,2019-09-17 09:44:49,1,110,10
3834109,41207518,,变迁,2019-06-27 11:17:13,1,149,39
1543546,41000123,,,2019-06-25 22:09:04,1,134,9
2382797,52974763,The night with you,注：手机看片的话，请横着屏幕看！,2019-09-19 08:56:08,1,109,22
3699554,52820798,瓦拉纳西的时光胶囊,"瓦拉纳西的清晨

微信公众号：chalffychan | 微博；chalffy_",2019-09-17 09:43:33,1,109,7
1890818,52572303,拉萨篇：布达拉宫D,摄于布达拉宫广场。,2019-09-14 17:01:09,1,193,63
2985515,41489668,,佛山•西南武庙,2019-06-29 08:48:29,1,130,10
6958557,40885198,,黄昏??,2019-06-25 08:23:07,1,121,6
6958557,40537984,,,2019-06-23 07:03:00,1,165,14
375598,53079820,Kansai Memories II,一些人的故事和一些需要品读的情绪,2019-09-20 15:36:08,9,108,7
3699554,52899309,瓦拉纳西,"瓦拉纳西也静谧

微信公众号：chalffychan | 微博；chalffy_",2019-09-18 09:44:57,1,108,7
3978721,52894521,换角度之三,,2019-09-18 07:42:48,1,108,54
2985515,41486479,,广东•西南街道,2019-06-29 07:58:41,1,140,17
3834109,52827405,,"《夜蓝》
摄于某栋新建楼盘的外立面。",2019-09-17 11:34:53,1,107,33
1732501,40985722,藏,,2019-06-25 20:56:12,1,148,44
6958557,52983287,,,2019-09-19 11:26:40,1,105,2
1890818,40735438,叼养比赛,抓拍于南疆塔什库尔干。,2019-06-24 09:12:09,4,198,70
6958557,40374909,,,2019-06-22 12:34:46,1,155,9
372563,41184405,,父老乡亲2,2019-06-27 02:13:46,1,158,19
6958557,52465886,,,2019-09-13 17:57:32,1,126,7
1543546,40999972,,,2019-06-25 22:08:20,1,131,9
3577740,37337892,丘比特之箭,,2019-06-07 13:57:02,1,140,4
1732501,52778659,湿地,,2019-09-16 19:12:28,1,104,26
6958557,52465826,,,2019-09-13 17:57:05,1,123,2
4587956,40744668,,辛勤工作,2019-06-24 10:40:08,1,149,54
2985515,52975361,,广西•鹅泉,2019-09-19 09:08:53,1,103,18
1543546,52875692,,,2019-09-17 22:26:31,1,103,4
6958557,52413958,,,2019-09-13 07:35:20,1,127,4
6958557,40751043,,黄昏?,2019-06-24 11:30:51,2,139,4
2461600,53002648,凝望,,2019-09-19 16:27:17,1,102,5
6958557,41337290,,,2019-06-28 08:35:25,1,111,1
5125683,52816871,丰收,拍摄于青白江马坪村,2019-09-17 08:12:08,2,103,23
3834109,41072598,,半夏绽放,2019-06-26 13:23:35,1,141,54
1732501,52868155,恋爱时光,,2019-09-17 21:15:09,1,101,37
4102917,52742994,,蚂蚁上树,2019-09-16 09:59:06,1,101,47
2985515,41646448,,广东•西南街道,2019-06-30 08:10:35,1,155,13
6958557,40732427,,黄昏?,2019-06-24 08:31:12,1,107,4
2985515,52975270,,广西•鹅泉,2019-09-19 09:06:57,1,100,21
952175,52836074,小西藏日落,南正尖，海拔1246米，永嘉的小西藏...,2019-09-17 13:53:05,1,100,4
1720636,52724326,秋季的新都桥,,2019-09-15 23:35:30,1,100,20
6958557,41039085,,蓝,2019-06-26 08:34:41,3,106,4
1720636,52801098,挤奶的女人,,2019-09-16 23:03:21,1,98,28
1720636,52726972,美丽的藏寨,,2019-09-16 00:04:57,1,98,26
4102917,52680611,,荷花,2019-09-15 16:42:16,1,99,52
14461197,52673758,小镇·小巷,小镇的生活是多姿多彩，每个人都有和他人不一样的生活方式，正因为这样，生 活才有了它独有的味道。有这样一条小巷，它是由大大小小商铺组成，买的也不是什么名 贵吃食、货物，但每天都有来来往往的人在巷子里进进出出。 有人问我，你为什么老想去那儿看看?当你经过它时，你会不由的往里瞧一瞧，看看里面有没有变化。有       时你会看到小孩子在巷子里嬉戏、打闹；有时你还会看到买东西的人讨价还价；有时···也许你会觉得这...,2019-09-15 15:23:05,14,83,12
2882307,52649451,印度尼西亚，巴厘岛，金巴兰海滩,印度尼西亚，巴厘岛，金巴兰海滩,2019-09-15 10:43:38,1,98,15
3834109,52641935,,珠江之夜,2019-09-15 09:01:41,1,99,36
1890818,52572187,布达拉宫C,摄于布达拉宫广场。,2019-09-14 16:59:43,1,172,44
1890818,41189292,好奇的眼神,抓拍于塔县塔克族婚礼。,2019-06-27 07:59:09,1,150,38
1784352,53100954,这里黎明静悄悄,,2019-09-20 20:01:14,1,98,4
6958557,52983707,,,2019-09-19 11:33:04,1,97,6
1720636,52869508,眷恋,红外相机680波段拍摄，转黑白。,2019-09-17 21:29:41,1,98,13
6958557,52823103,,,2019-09-17 10:23:48,1,98,2
1720636,52861661,足球梦,红外相机680波段拍摄，转红外。,2019-09-17 20:02:41,1,96,18
1720636,52876726,等候活动的人,红外相机680波段拍摄，转黑白。,2019-09-17 22:35:58,1,95,14
1321758,52762474,,赶海归来,2019-09-16 15:10:52,1,95,12
6958557,35399471,,,2019-05-31 08:03:42,1,388,2
1784352,52973283,【天空之镜】广东湛江皮廖灣,,2019-09-19 08:20:34,1,94,6
1321758,52924487,,赶海．广东省电白澳内,2019-09-18 16:33:09,1,93,9
3069663,52797719,,扫街合辑之头饰篇?,2019-09-16 22:31:31,12,94,7
1720636,52733117,老茶馆,,2019-09-16 01:25:39,1,94,12
1628131,52697413,稻子熟了,,2019-09-15 19:48:34,1,91,4
2985515,52639371,,云南•坝美,2019-09-15 08:08:38,1,94,10
1898238,52598156,舞伴,,2019-09-14 20:53:17,1,125,9
6958557,35214769,,世贸深港国际营销中心,2019-05-30 08:12:45,2,446,9
1188348,13516933,《一场秋雨一场凉》,,2016-09-19 00:40:49,41,4685,177
