#2019-09-21
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
3310003,52979448,,,2019-09-19 10:25:49,1,698,0
3699554,52977042,晨归恒河,"瓦拉纳西的清晨

微信公众号：chalffychan | 微博；chalffy_",2019-09-19 09:44:07,1,577,65
395013,52583281,,重庆南滨路下的桥洞，对面就是朝天门码头和来福士广场。在人们难以注意到的角落，自然的原住民重新成为了这里的主角~,2019-09-14 18:48:51,1,499,46
3889946,40777155,,拉起梦想的泡泡！,2019-06-24 14:38:02,1,344,196
1134163,25994559,南京一下雪就变成金陵,南京,2019-01-02 13:32:21,1,2085,30
3007807,42312138,,唯美食美景不可辜负呀，想念小吃街,2019-07-04 13:40:28,1,2618,20
395013,38759241,国家地理全球大奖！Grand Prize of Natgeo Travel Photo Contest 2019,"我的照片获得了2019年国家地理摄影大赛全球总冠军+城市类第一名！
从开始喜欢地理探险的那时起，登上这个世界性舞台对我而言，一直都是非常遥远却不断在努力的目标之一。未来还要继续探索，将更多的原创影像呈现给大家。
感谢图虫小伙伴们的支持！",2019-06-13 09:13:41,10,5861,389
1145421,52945684,角楼 2,,2019-09-18 21:13:12,1,214,17
3889946,40928472,,蒙马特高地,2019-06-25 14:35:05,1,245,137
395013,40147474,,暴风雪中的格陵兰小镇，除了彩色的屋子和行人，整个世界只剩一片纯净的白色。,2019-06-21 09:55:03,1,1535,74
1890818,52704648,拉萨篇：布达拉宫E,摄于布达拉宫广场。,2019-09-15 20:55:50,1,200,56
2641574,31289363,,,2019-04-19 04:41:11,8,2691,68
395013,28655186,回家,Upernavik是北极圈以北700公里的一座童话小镇。3月的傍晚，气温只有零下30度，是时候回到温暖的家中了。,2019-03-14 10:03:14,1,4189,325
1890818,52705099,拉萨篇：纪念碑,摄于布达拉宫广场。,2019-09-15 20:59:51,2,193,53
1890818,52704814,拉萨篇：布达拉宫东广场,,2019-09-15 20:57:27,1,189,54
1186455,14126804,MONDAY,,2017-02-20 22:25:52,19,7649,177
1501184,13562340,走着走着就散了,"走着走着就 散了，回忆都淡了 
看着看着就 倦了，星光也暗了 
听着听着就 厌了，开始埋怨了 
回头发现你不见了，突然我 乱了
【席慕容】
模特 ：@lena莉安那",2016-10-02 10:23:04,8,6015,291
2574940,39871666,CNL,,2019-06-19 13:35:13,7,1313,41
1890818,52773500,拉萨篇：布达拉宫西广场,,2019-09-16 17:58:18,2,178,48
3889946,52674890,,"星空下的金殿
摄于维也纳美泉宫",2019-09-15 15:36:42,2,173,137
1535376,52095836,令人怦然心动的「日系写真」，就该这么拍！,Air君有话要说日系色调的写真，总是让人看着很舒服。干净、清爽、纯粹·····一切美好的词汇似乎都能放在它身上，而这类写真也非常受妹纸们的喜欢。不过怎么才能拍出人见人爱的日系写真呢？今天，Air君就给大家分享下摄影师三园猫的《日系写真拍摄指南》，教你如何快速拍出干净舒服的日系写真。夏天最适合拍一套清爽干净的日系写真啦，但如何可以快速拍出一组这样的照片呢？这次我会从前期色系搭配、构思、相机设置、后期调色来进...,2019-09-09 18:58:28,0,359,12
3889946,52924331,,"夜里的温暖
摄于维也纳街头",2019-09-18 16:30:35,1,172,130
1890818,52844422,林芝篇：天佛瀑布,摄于林芝卡定天佛瀑布。,2019-09-17 16:02:56,2,169,40
1890818,52773780,林芝篇：千年古柏,摄于林芝柏树王景区，这颗古柏据说有2000多年树龄。,2019-09-16 18:02:12,2,167,55
1890818,52915626,林芝篇：小溪,摄于天佛瀑布景区。,2019-09-18 14:05:17,1,165,49
1890818,52915531,,摄于林芝。,2019-09-18 14:03:47,2,162,51
1890818,52844758,林芝篇：清泉,摄于林芝天佛瀑布景区。,2019-09-17 16:07:18,2,161,53
4517983,22375638,“红色”元素啊,"看完这组照片，你会爱上红色。
最近真是被“倒计时”洗脑啦哈哈哈~",2018-09-25 17:04:51,10,8287,428
1762190,52732799,,渣男！吃我一剑！,2019-09-16 01:19:04,3,153,0
3889946,53002675,,维也纳街头随拍,2019-09-19 16:27:45,7,153,118
2985515,53053337,,广西•德天瀑布,2019-09-20 08:43:48,1,151,21
1797849,17234487,小周末,周末了，我们一起去花鸟市场吧,2018-03-30 11:20:50,34,4642,177
1399713,40439645,,出门仓促了，鞋子没搭好，都没拍全身?,2019-06-22 18:13:29,9,172,1
1842013,52815932,,不管你是树还是消防栓，不管你是高矮还是胖瘦，在一米阳光下，就这样互相陪着，便很好！,2019-09-17 07:38:25,2,146,56
1740037,23172643,卡哇伊,,2018-10-15 03:57:39,9,671,12
1543546,41295637,,,2019-06-27 21:45:46,1,188,9
1543546,40835857,,,2019-06-24 21:14:53,1,174,3
3834109,41497231,,中轴之夜,2019-06-29 10:11:36,1,260,73
2985515,52820947,,云南•普者黑,2019-09-17 09:46:35,1,140,28
3069663,41006241,,越过山丘,2019-06-25 22:38:30,1,178,24
1543546,40964334,,,2019-06-25 18:48:21,1,171,7
1518916,21490445,初秋,秋天的风，吹走了夏天的雨，你是否等来了喜欢的人？,2018-09-03 09:00:23,5,4509,131
294517,51435709,酷YOYO,MT: YOYO,2019-09-02 13:47:07,15,278,20
4517983,22412693,在超市拍照必去的几个地方！！！,还在担心没地方拍照“凹造型”？新技能还不赶紧来get~,2018-09-26 17:27:50,11,3112,71
46448,53032493,解构上海（彩色全集） 华为Mate 30pro拍摄,"解构上海.彩色篇，使用华为Mate 30pro拍摄

开发相机之余拍下这些，结合内容第一时间说说Mate 30pro拍摄指南吧，之后还有更棒的黑白篇（请点击原图）。

1. 凌晨到日出的陆家嘴，熄灯的楼宇夜影和辉煌日出，让人有一种超现实的感觉。18mm超广角主摄虽然不及13mm的广角效果来的直观，但是1/1.54的传感器面积加上新的AI技术，使得这颗广角的基础画质和夜景表现超群。

2. 鸽子盘旋的黄浦老宅和往来的单车，充满着老上海的生活气息...",2019-09-19 22:22:41,9,131,10
1137009,31237130,牛仔,,2019-04-18 08:34:27,2,2438,105
2985515,52639453,,云南•坝美,2019-09-15 08:10:33,1,129,19
1890818,53081934,多彩盐湖（4）,查尔干盐湖随拍。,2019-09-20 16:03:53,1,127,41
2985515,53000671,,广西•鹅泉,2019-09-19 15:57:15,1,127,22
1842013,52894098,,留住美好,2019-09-18 07:23:50,2,125,47
381177,16121235,致---2017,,2017-12-29 19:15:57,20,3091,99
1890818,53081949,多彩盐湖（5）,查尔干盐湖随拍。,2019-09-20 16:04:04,1,122,30
1842013,53050073,,展品会上，妖稀饭这套咖啡杯和小茶壶，可惜不卖,2019-09-20 06:42:46,4,124,55
3118968,52743743,编织生活,拍摄于顺德伦教镇。,2019-09-16 10:11:39,1,124,45
1842013,52737680,,没有灯泡的时光好开心，情不自禁手舞足蹈,2019-09-16 07:49:23,2,123,65
1543546,41295461,,,2019-06-27 21:44:47,1,162,9
1842013,52971518,,影影绰绰,2019-09-19 07:14:18,2,122,36
2985515,52859017,,云南•普者黑,2019-09-17 19:28:27,1,123,16
2985515,52761084,,云南•普者黑,2019-09-16 14:47:32,1,122,11
2985515,52897917,,云南•普者黑,2019-09-18 09:16:52,1,119,24
3834109,40922526,,塔下风云多变幻，唯有葵花向日倾……,2019-06-25 13:51:12,2,163,68
1543546,40964253,,,2019-06-25 18:47:53,1,149,10
2985515,52994143,,广西•鹅泉,2019-09-19 14:13:34,1,117,26
3834109,41366625,,旧村与新城,2019-06-28 13:02:17,1,208,56
1890818,41036112,碧波荡漾,抓拍于尉犁县葫芦岛。,2019-06-26 07:39:56,1,179,62
1890818,40735713,高原风光,摄于帕米尔高原。,2019-06-24 09:15:29,2,200,73
5125683,52639594,留学,,2019-09-15 08:14:04,1,115,20
1757728,41293860,,留在江边的日常,2019-06-27 21:36:24,22,423,16
1543546,40835726,,,2019-06-24 21:14:13,1,125,5
2985515,52820866,,云南•普者黑,2019-09-17 09:44:49,1,110,10
3169617,52662988,,《美食人生》拍摄于马耳他。,2019-09-15 13:16:54,1,110,43
1535376,52440229,素人改造 | 素人改造 | 设计狮 x 程序猿 的CP，竟然被改造成了…？！,嘿空心粉们，一个喜大普奔的消息——咱们的首期素人情侣改造终于大功告成了！等等，可千万别告诉我，你还不知道我们招募了情侣进行改造（罚你看本期“虐狗”的改造100遍！ ！ ！ ）咳咳，我们这次的素人情侣改造可以说是相当的完美。当Ari君看到改造完毕的效果时，仿佛是收到了一枚“甜到齁死人”的炸弹！！！（威力太大，Air君差点被甜到阵亡）这里，Air君就先给你放张这次女主角改造前后的图，过过眼瘾先~怎么样看完这图，你是不是...,2019-09-13 13:33:03,0,119,13
3834109,41207518,,变迁,2019-06-27 11:17:13,1,149,39
1543546,41000123,,,2019-06-25 22:09:04,1,134,9
395013,40000707,,"格陵兰岛乌佩纳维克镇修建在一个山坡上，因此上窄下宽，夜晚亮灯之后，从空中看起来就像一棵圣诞树一样。树干的底部是鱼类加工厂，树尖是机场塔台，最左侧是超市和医院，最右侧是垃圾处理厂
Mavic 2 Pro 航拍，ISO100 f2.8 1秒长曝光",2019-06-20 11:15:30,1,1268,62
2382797,52974763,The night with you,注：手机看片的话，请横着屏幕看！,2019-09-19 08:56:08,1,109,22
3699554,52820798,瓦拉纳西的时光胶囊,"瓦拉纳西的清晨

微信公众号：chalffychan | 微博；chalffy_",2019-09-17 09:43:33,1,109,7
1890818,52572303,拉萨篇：布达拉宫D,摄于布达拉宫广场。,2019-09-14 17:01:09,1,193,63
1842013,53135960,,酒店的拿铁，偏苦涩，奶香味不够,2019-09-21 06:58:38,2,108,38
3699554,52899309,瓦拉纳西,"瓦拉纳西也静谧

微信公众号：chalffychan | 微博；chalffy_",2019-09-18 09:44:57,1,108,7
3834109,52827405,,"《夜蓝》
摄于某栋新建楼盘的外立面。",2019-09-17 11:34:53,1,107,33
1890818,41037199,足球小子,抓拍于乌鲁木齐街头。,2019-06-26 08:03:54,4,138,40
1890818,40735438,叼养比赛,抓拍于南疆塔什库尔干。,2019-06-24 09:12:09,4,198,70
1178708,21355107,尾夏的ANNA,"PH：ZCANDREY
MD：ANNA T",2018-08-30 15:49:16,1,27106,1132
1842013,52637760,,偶尔颓废一下，也是可以滴。把城市做旧……,2019-09-15 07:12:44,2,105,43
1543546,40999972,,,2019-06-25 22:08:20,1,131,9
2985515,52975361,,广西•鹅泉,2019-09-19 09:08:53,1,103,18
1543546,52875692,,,2019-09-17 22:26:31,1,103,4
5125683,52816871,丰收,拍摄于青白江马坪村,2019-09-17 08:12:08,2,103,23
2461600,53002648,凝望,,2019-09-19 16:27:17,1,102,5
3834109,41072598,,半夏绽放,2019-06-26 13:23:35,1,141,54
5004619,40885013,,,2019-06-25 08:20:31,1,116,2
1842013,53135895,,梦,2019-09-21 06:55:17,2,100,45
2985515,52975270,,广西•鹅泉,2019-09-19 09:06:57,1,100,21
1720636,52724326,秋季的新都桥,,2019-09-15 23:35:30,1,100,20
1720636,52726972,美丽的藏寨,,2019-09-16 00:04:57,1,98,26
4102917,52680611,,荷花,2019-09-15 16:42:16,1,99,52
14461197,52673758,小镇·小巷,小镇的生活是多姿多彩，每个人都有和他人不一样的生活方式，正因为这样，生 活才有了它独有的味道。有这样一条小巷，它是由大大小小商铺组成，买的也不是什么名 贵吃食、货物，但每天都有来来往往的人在巷子里进进出出。 有人问我，你为什么老想去那儿看看?当你经过它时，你会不由的往里瞧一瞧，看看里面有没有变化。有       时你会看到小孩子在巷子里嬉戏、打闹；有时你还会看到买东西的人讨价还价；有时···也许你会觉得这...,2019-09-15 15:23:05,14,83,12
2882307,52649451,印度尼西亚，巴厘岛，金巴兰海滩,印度尼西亚，巴厘岛，金巴兰海滩,2019-09-15 10:43:38,1,98,15
1890818,52572187,布达拉宫C,摄于布达拉宫广场。,2019-09-14 16:59:43,1,172,44
1720636,52869508,眷恋,红外相机680波段拍摄，转黑白。,2019-09-17 21:29:41,1,98,13
1720636,52861661,足球梦,红外相机680波段拍摄，转红外。,2019-09-17 20:02:41,1,96,18
1720636,52876726,等候活动的人,红外相机680波段拍摄，转黑白。,2019-09-17 22:35:58,1,95,14
3069663,52797719,,扫街合辑之头饰篇?,2019-09-16 22:31:31,12,94,7
1720636,52733117,老茶馆,,2019-09-16 01:25:39,1,94,12
2985515,52663963,,云南•坝美,2019-09-15 13:27:59,1,98,9
2985515,52639371,,云南•坝美,2019-09-15 08:08:38,1,94,10
1890818,53171866,多彩盐湖（8）,摄于查尔干盐湖。,2019-09-21 15:57:57,2,92,29
2311422,53083918,,天翼智能生态博览会随摄,2019-09-20 16:30:18,14,92,3
1720636,52937097,突尼斯老城,,2019-09-18 19:34:05,1,93,12
2933362,52644779,中国红（3）,拍摄于上海东方体育中心,2019-09-15 09:45:35,1,93,49
1720636,52964935,禾木打卡地,,2019-09-19 00:52:32,1,92,29
4102917,52903247,,荷舞,2019-09-18 10:50:10,1,92,65
1720636,52783810,赛马前的喂桑,红外相机680波段拍摄，转黑白。,2019-09-16 20:15:02,1,92,17
2768090,52751495,,夜晚的通道,2019-09-16 12:17:25,1,91,9
3834109,41629247,,"夕下寂城
老狗头70300出来透透气，摄于广州海珠区敦和",2019-06-30 00:10:22,1,168,47
2985515,53053219,,广西•德天瀑布,2019-09-20 08:41:41,1,90,8
2768090,52645950,,街头掠影,2019-09-15 10:02:00,1,90,7
1720636,52625115,拉萨街头的老人,红外相机680波段拍摄转黑白,2019-09-14 23:56:26,1,90,17
6377341,52900080,,花廊,2019-09-18 09:58:20,1,92,58
1720636,52868173,赛马前的演练,红外相机680波段拍摄，转黑白。,2019-09-17 21:15:22,1,89,11
1720636,52806809,交流,,2019-09-17 00:09:41,1,89,23
3978721,52737226,夜拍,,2019-09-16 07:31:19,1,88,42
395013,50768474,魔幻重庆,与长安汽车合作的一组重庆科技未来风照片，调色教程 https://weibo.com/3069844914/I3rqIa4la,2019-08-27 09:45:42,26,1463,109
1543546,41461772,,,2019-06-28 23:13:52,1,107,5
1720636,52830758,噶基和他的马,和我相机680波段拍摄。转黑白,2019-09-17 12:32:31,1,87,8
11465210,52748260,,牵手,2019-09-16 11:22:56,1,88,10
2985515,52741629,,云南•普者黑,2019-09-16 09:31:11,1,88,7
1720636,52721361,专注,,2019-09-15 23:07:51,1,88,23
4102917,52827274,,手机随拍之修车,2019-09-17 11:32:35,1,87,53
11465210,53082637,,城市之光,2019-09-20 16:13:02,1,85,36
3069663,53004953,,"祖国在我心
下班路上手机随手拍
iphone xsmax",2019-09-19 17:05:30,2,86,3
4102917,52903348,,晚霞随拍,2019-09-18 10:51:48,1,86,68
3732698,52637129,,,2019-09-15 06:34:06,1,85,22
2985515,52993905,,广西•鹅泉,2019-09-19 14:10:05,1,85,17
5125683,52974534,田园乐章,,2019-09-19 08:50:34,2,83,25
244903,51195713,,右转教工路,2019-08-31 10:05:20,1,403,6
2768090,52822099,,街头人物,2019-09-17 10:07:33,1,84,7
1890818,53171526,多彩盐湖（7）,抓拍于查尔干盐湖。,2019-09-21 15:53:50,4,83,27
2882307,53005470,成都的旧与新 成都爬楼 成都文殊院与IFS,成都的旧与新 成都爬楼 文殊院与IFS九龙仓国际金融中心同框，远处是成都龙泉山。,2019-09-19 17:12:59,1,83,3
