#2019-09-21
author_id,post_id,title,excerpt,published_at,image_count,favorites,comments
270008,37671248,,,2019-06-08 16:30:47,1,6461,102
395372,52977414,夏末的三峰山傍晚,"虽然多次来到这里，每次还是那么陶醉于它的美景之中。拍于三栖影社2019年多洛米蒂/斯洛维尼亚实战教学班一期行程。

6张景深合成。这也是行程中的后期教学演示片。

鉴于很多朋友在这里和私信都问我关于景深合成的拍摄方法，其实三栖影社已经将这部分的课堂教学视频免费公开发布，大家可以在我们公众号干货文章栏目找到，也可以直接点击下面链接进入：
https://mp.weixin.qq.com/s?__biz=MzU2ODc0MjU4MA==&mid=2247485052&idx=1...",2019-09-19 09:51:17,1,656,61
3699554,52977042,晨归恒河,"瓦拉纳西的清晨

微信公众号：chalffychan | 微博；chalffy_",2019-09-19 09:44:07,1,572,65
1191532,52910759,你与大神照片的差别，并不在于光影和颜色，而在于…,很多时候，在进阶道路上的摄影爱好者，明明能感觉到自己作品与大神作品的差距，好像却完全不知道差在哪，无法用语言准确描述，从而导致自己的摄影水平一直原地踏步，很难进步。所以，想要提高自己的摄影水平，首先要知道自己与大神差在哪里，才能准确地学习自己所欠缺的东西。本期教程将向大家详解进摄影大神的作品与普通人照片的直接差距。当我们讨论一张照片，无非是在讨论照片的用光、用色、构图等方面，以及照片自身包含的...,2019-09-18 12:51:13,0,535,8
34804,38752177,2019 Storm Chase II,,2019-06-13 07:53:12,1,562,70
1394215,40578004,,奇迹,2019-06-23 12:32:10,1,6486,28
395013,53025392,,海面上漂浮的冰山是南北极的一大特色。我们的船慢慢靠近有几十米高的冰山拍摄，突然3只鲸鱼浮了上来，喷出了近10米高的水雾，仿佛在用他们特有的方式和我们打招呼。,2019-09-19 21:17:50,1,516,32
294517,23847289,行亦禅坐亦禅,MT:YISHENG,2018-11-01 08:23:47,11,1030,10
1364350,28539454,,"《星河下的花语》

7月内蒙古克什克腾旗的星空，我站在星空下抬头仰望星空，旁边绿色的气辉呼应着。看遍了晴空的银河，这张多云的星空是我一直想拍摄的，当时几片云飘过来，我当时抓住了锲机，按下了快门。野花在星空下显得非常漂亮，前景我进行了打光。",2019-03-11 16:32:23,1,23346,253
1645772,48295665,,圣光外滩,2019-08-08 21:50:56,1,763,27
3229965,30965762,граница ,@Thomas看看世界,2019-04-13 22:27:09,1,8912,119
104938,52739741,星耀蓝湖,这是一座终日冒着蓝色岩浆的活火山，夜晚睡在火山口这个疯狂的主意来自我的朋友，感谢这个大胆的决定，伴着硫磺燃烧的毒烟和脚下翻滚的蓝色硫酸湖，我见证了如此美妙的月落,2019-09-16 08:48:45,1,379,24
