数据库：年度数据,,,,,,,,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,,,,,,,
指标,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
电力可供量(亿千瓦小时),,64821,61297.6,58021.3,56381.8,54204.1,49767.7,47002.7,41936.5,37032.7,34540.8,32712.4,28588.4,24940.8,21972.3,19032.2,16466,14724.1,13472.7,
电力生产量(亿千瓦小时),,64951.4,61424.9,58145.7,56495.8,54316.4,49875.5,47130.2,42071.6,37146.5,34668.8,32815.5,28657.3,25002.6,22033.1,19105.8,16540,14808,13556,
水电生产电力量(亿千瓦小时),,11898.4,11933.7,11302.7,10643.4,9202.9,8721.1,6989.5,7221.7,6156.4,5851.9,4852.6,4357.9,3970.2,3535.4,2836.8,2879.7,2774.3,2224.1,
火电生产电力量(亿千瓦小时),,46627.4,44370.7,42841.9,42686.5,42470.1,38928.1,38337,33319.3,29827.8,27900.8,27229.3,23696,20473.4,17955.9,15803.6,13381.4,11834.3,11141.9,
核电生产电力量(亿千瓦小时),,2480.7,2132.9,1707.9,1325.4,1116.1,973.9,863.5,738.8,701.3,683.9,621.3,548.4,530.9,504.7,433.4,251.3,174.7,167.4,
风电生产电力量(亿千瓦小时),,2950.2,2370.7,1857.7,1560.8,1412,959.8,703.3,446.2,,,,,,,,,,,
电力进口量(亿千瓦小时),,64.2,61.9,62.1,67.5,74.4,68.7,65.6,55.5,60.1,38.4,42.5,53.9,50.1,34,29.8,23,18,15.5,
电力出口量(亿千瓦小时),,194.7,189.1,186.5,181.6,186.7,176.5,193.1,190.6,173.9,166.4,145.7,122.7,111.9,94.8,103.4,97,101.9,98.8,
电力能源消费总量(亿千瓦小时),,64821,61297.1,58020,56383.7,54203.4,49762.6,47000.9,41934.5,37032.2,34541.4,32711.8,28588,24940.3,21971.4,19031.6,16465.5,14723.5,13472.4,
农、林、牧、渔、水利业电力消费总量(亿千瓦小时),,1175.1,1091.9,1039.8,1013.4,1026.9,1012.6,1012.9,976.5,939.9,887.1,879,827,776.3,768.9,693.2,606.2,582.4,533,
工业电力消费总量(亿千瓦小时),,44959.8,43088.9,41550,40802.7,39236.9,36232.2,34691.6,30871.8,26854.5,25388.6,24290.8,21267.7,18521.7,16424.3,14169.7,12402.2,10944.7,10004.6,
建筑业电力消费总量(亿千瓦小时),,789.2,725.6,698.7,721.7,675.1,608.4,571.8,483.2,421.9,367.3,309,271,233.9,202.1,179.8,154.1,154.9,159.8,
交通运输、仓储和邮政业电力消费总量(亿千瓦小时),,1418,1251.5,1125.6,1059.2,1000.9,915.4,848.4,734.5,617,571.8,531.9,467.4,430.3,449.6,406.9,303,309.3,281.2,
批发、零售业和住宿、餐饮业电力消费总量(亿千瓦小时),,2526.6,2323.8,2122,1995.6,1876.9,1691.5,1503.1,1292,1136.8,1017.4,929.8,847.3,752.3,705.4,613,500,459.9,418.7,
其他行业电力消费总量(亿千瓦小时),,4880.6,4394.8,3918.6,3615,3397.6,3083.6,2753.1,2451.8,2189.9,1913,1708.6,1555.9,1340.9,1036.6,911,728.5,663.1,623.2,
生活消费电力总量(亿千瓦小时),,9071.6,8420.6,7565.2,7176.1,6989.2,6219,5620.1,5124.6,4872.2,4396.1,4062.7,3351.6,2884.8,2384.5,2058,1771.4,1609.2,1452,
电力终端消费量(亿千瓦小时),,61625.1,58234.2,55032.1,53283.8,51062.7,46866.5,44300.2,39366.3,34773.9,32403.5,30650.1,26729.1,23233.8,20550.8,17770.9,15296.8,13690,12535.7,
工业终端电力消费量(亿千瓦小时),,41764,40026,38562.1,37702.8,36096.2,33336.1,31990.9,28303.5,24596.3,23250.8,22229.1,19408.9,16815.2,15003.7,12909,11233.5,9911.2,9067.9,
输配电损失量(亿千瓦小时),,3195.8,3062.9,2987.9,3099.9,3140.7,2896.2,2700.7,2568.2,2258.2,2137.9,2061.7,1858.8,1706.5,1420.6,1260.7,1168.7,1033.5,936.7,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,
